properties_values,label
ROBB760112,25
ROBB760113,25
ROBB790101,25
ROSG850101,6
ROSG850102,25
ROSM880101,25
ROSM880102,25
ROSM880103,25
SIMZ760101,25
SNEP660101,25
SNEP660102,25
SNEP660103,25
SNEP660104,25
SUEM840101,25
SUEM840102,22
SWER830101,25
TANS770101,25
TANS770102,25
TANS770103,25
TANS770104,25
TANS770105,25
TANS770106,25
TANS770107,25
TANS770108,25
TANS770109,25
TANS770110,25
VASM830101,25
VASM830102,25
VASM830103,25
VELV850101,25
VENT840101,25
VHEG790101,25
WARP780101,9
WEBA780101,9
WERD780101,9
WERD780102,9
WERD780103,9
WERD780104,9
WOEC730101,9
WOLR810101,9
WOLS870101,9
WOLS870102,9
WOLS870103,9
YUTK870101,9
YUTK870102,9
YUTK870103,22
YUTK870104,22
ZASB820101,9
ZIMJ680101,9
ZIMJ680102,22
ZIMJ680103,22
ZIMJ680104,9
ZIMJ680105,9
AURR980101,9
AURR980102,9
AURR980103,9
AURR980104,9
AURR980105,9
AURR980106,9
AURR980107,9
AURR980108,9
AURR980109,9
AURR980110,9
AURR980111,9
AURR980112,9
AURR980113,9
AURR980114,9
AURR980115,9
AURR980116,9
AURR980117,9
AURR980118,9
AURR980119,9
AURR980120,9
ONEK900101,9
ONEK900102,9
VINM940101,9
VINM940102,9
VINM940103,9
VINM940104,9
MUNV940101,9
MUNV940102,9
MUNV940103,9
MUNV940104,9
MUNV940105,9
WIMW960101,9
KIMC930101,9
MONM990101,9
BLAM930101,9
PARS000101,9
PARS000102,9
KUMS000101,21
KUMS000102,21
KUMS000103,21
KUMS000104,21
TAKK010101,21
FODM020101,21
NADH010101,14
NADH010102,14
NADH010103,14
NADH010104,14
NADH010105,7
NADH010106,7
NADH010107,18
MONM990201,21
KOEP990101,21
KOEP990102,21
CEDJ970101,21
CEDJ970102,21
CEDJ970103,21
CEDJ970104,21
CEDJ970105,21
FUKS010101,21
FUKS010102,21
FUKS010103,21
FUKS010104,21
FUKS010105,21
FUKS010106,21
FUKS010107,21
FUKS010108,21
FUKS010109,21
FUKS010110,21
FUKS010111,21
FUKS010112,21
MITS020101,21
TSAJ990101,6
