p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11
-1.1992258,-0.35937288,-1.118103,-0.066867374,-1.531736,-0.40062833,1.5962396,0.9451217,-0.16244362,0.23424315,2.2738419,-0.7871163
1.7995976,0.11788858,0.44695774,0.11849159,-1.7946697,-2.0275173,-1.6077693,-0.147204,2.691475,1.0456856,1.3142722,0.79612875
0.52636164,1.9657702,-0.9489438,-0.40155798,-0.6976189,0.3421424,0.64424324,1.487122,-0.49429676,-0.0593058,2.3818607,-0.3190946
-0.67572796,-0.5073378,-1.3136228,0.16849352,-0.64413285,-0.93506724,-0.5498465,-0.08339061,-0.00026487903,-0.80228955,0.81859314,1.166355
-1.498483,0.2321042,-0.5367146,0.13452473,1.6718087,-0.6797637,-0.625531,-1.0096761,1.509984,-0.1318571,2.4566343,0.7213958
-0.6368892,0.04103161,-0.50008947,0.23430157,0.9258266,-0.18684103,-0.78218085,-1.1281494,1.4226744,0.48794344,2.2702687,1.4207661
-0.37735698,-0.07197048,-0.5777814,0.36589238,1.1900656,-0.14633048,-0.8351319,-0.85033584,1.6039691,0.49290028,2.169528,1.3692261
0.40274617,-0.20267572,0.1698542,0.819074,0.5606398,0.09971021,0.029068723,-1.654634,-1.1681267,-0.24605007,2.846558,0.05471475
0.19717233,0.9728232,-0.31745982,1.250018,-1.8231618,0.49511597,-1.8066235,-1.1854923,0.39725477,1.6527159,2.5497324,0.50570184
0.07797197,0.06316685,-0.22292593,-0.36566812,-0.26922673,-2.8725848,-1.5362368,-0.13413256,2.074107,-1.7227445,1.5561793,0.54412735
-0.8572189,-0.021485947,-0.78999466,0.13830124,0.03466087,-2.8385394,-0.9765755,-0.12212184,2.2507899,-1.7522064,1.7156655,0.56032014
0.62467,0.45709142,-0.24343047,-0.9893353,-1.552311,-0.86691993,0.048320644,0.027319442,-0.35239223,0.22751965,1.9332548,0.18297634
0.60423994,0.2855734,-0.19718297,-0.9100775,-1.663526,-0.8302825,-0.029297603,-0.020049164,-0.38121897,0.14617682,1.8548179,0.09524481
-1.0689551,-0.3594727,-0.630274,1.0082788,-1.6732125,0.56541896,-1.5938054,2.0049431,1.2774214,0.5355049,1.5507954,1.5761844
0.04871668,-0.24881913,-0.013936205,0.5064666,-0.117690794,0.37169695,-0.32837105,-0.31292507,0.6425836,0.054768015,0.47547475,0.70133287
0.6737498,0.6627813,0.4189146,-1.7172455,-2.0991137,1.4139305,-0.3842559,1.667663,0.0044108885,-1.0170898,2.1064737,-0.44066674
1.013344,0.40879267,0.867916,-0.7660516,-3.0410757,1.868089,-1.2069786,1.3194187,-0.44461837,-1.3304987,2.859672,-1.806459
0.57796216,1.3469385,0.28131688,-0.068593696,-2.9202895,0.72724503,0.2306757,0.7098851,-0.48693937,-1.3427801,2.6786232,-1.8145384
0.21787539,0.90612185,0.6420573,-0.18344645,-2.0550056,0.635541,0.5886961,0.82039875,-0.2974859,-0.9908485,2.1237907,-0.2562327
1.5162907,-0.32525238,0.4240399,-0.06269862,-0.3335399,-0.8576249,0.8004771,1.3627863,1.0550394,0.9400901,1.7164286,0.76715887
1.341088,0.016864544,0.42917728,1.7182856,-1.5776492,1.1384884,-0.12370871,0.49189207,0.90806127,0.69855285,1.1525388,0.15205505
1.6075224,0.2604066,0.14538097,1.4339557,-1.3131465,0.8683397,-0.17679873,0.35697883,0.87224185,0.99158376,1.0986601,0.21711789
1.5308312,0.0471346,0.37043247,1.3396945,-1.383409,0.9786792,0.030762618,0.6934196,0.8343793,0.9873831,1.1400672,0.30793184
1.3454247,0.107109606,0.45866206,1.3654809,-1.296016,0.75496906,-0.37057614,0.74185497,0.74956423,0.86807865,1.1460173,0.21326186
0.26587495,0.7782985,0.39343813,1.0410919,-1.4384204,0.2116066,-0.22936687,0.34343,0.19850115,0.36031765,0.97980064,0.21273036
0.1471152,1.1158906,0.61859906,0.7975031,-1.0038518,0.053350244,-0.24186058,0.3807757,0.13842058,0.5452652,1.0380194,0.12272743
0.16930783,1.0979949,0.6282169,0.9398973,-1.0072798,0.00093516306,-0.46959573,0.2986686,0.3492894,0.5583146,0.9455272,0.33137205
0.5551458,0.29428768,0.14919624,0.59150827,-1.0414288,0.38734344,-0.3743778,0.6185385,0.25395736,0.5572964,1.0178026,0.17770058
