p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7
-0.8732614,0.41444033,-0.48016903,-1.8530622,2.3991716,2.030341,2.8481438,1.1018037
-1.1705261,0.081838176,-0.25520533,-0.39776564,0.12219255,-0.5175815,1.1526068,-0.6755742
-1.0671556,0.31980225,-0.2859759,0.75324565,-0.34135818,-0.2663207,2.0648623,0.19110131
-0.44685772,0.34091812,-0.13530394,0.75372624,-0.8721784,-0.20943257,1.7342583,-0.69632363
-1.5458882,0.6695875,-0.89615124,0.79328823,0.6294668,-0.581251,0.8761153,-0.259449
-1.2833204,1.2988147,-1.042769,1.2074527,0.85273975,-0.45811746,1.6765054,0.6653385
-0.7571258,0.87531835,1.47702,1.1323202,0.90534323,0.88857424,1.554741,0.6427839
1.1303751,0.8356203,0.9485166,2.3408706,-0.5407372,3.0237947,3.0580535,3.1484792
-2.8147664,2.3237107,1.8878598,-0.1309248,1.3509998,1.3396107,2.237418,1.448421
-1.161082,1.2260861,1.3149979,1.0596089,-0.1537381,0.35667497,1.7372036,0.11598255
-2.5177839,1.8130679,3.4883907,2.319531,0.9947553,0.7472286,2.1262462,2.6302984
0.7662785,1.4892132,0.4141544,0.44321805,-1.3362224,-0.8465757,2.6411085,2.4698837
1.0552287,1.2319045,-0.09433973,0.19060954,-1.4254837,-0.6449164,2.8918748,2.3816001
1.0503317,1.7116709,0.46248198,0.21270613,-1.6985128,-0.85298645,3.0406375,2.24699
1.2377421,1.5147781,-0.07959291,0.0014350158,-1.6748133,-0.4456567,3.1345224,2.1182404
1.3065207,0.2281208,0.37960526,1.2048569,-0.71680844,-0.25979775,2.5839562,2.8633373
1.5510511,-0.15234296,0.11673469,0.84117776,-0.8196685,-0.18367949,2.8040662,2.8780828
0.5778579,0.1368145,-1.2034945,-0.6005743,-0.124492966,-1.9137347,2.0751474,0.727652
0.3187673,0.058075666,-0.83913773,-0.2928527,0.07720672,-1.5259916,1.7659823,0.7757791
0.4180584,-0.21886018,-0.51847935,-0.49582413,0.10953746,-1.6870389,1.6812912,0.7737715
