p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22
0.6212957,-0.35717666,-0.33221906,-0.43666658,0.652522,0.5941663,0.5308048,0.23680991,-0.32843292,0.10569195,0.4631891,0.58224064,0.82122743,1.0504812,-1.3363268,1.1169049,0.11092039,-0.04734496,0.17267272,0.40291283,1.0963964,-0.8213016,-0.29501867
0.13228537,0.07911272,-0.2571765,-0.58418953,0.7778904,-0.26537585,0.6042503,-0.15885124,-0.70775235,0.8697371,0.20709455,0.5446687,1.017498,1.0387352,-1.0971,1.1797868,-0.094995074,-0.033426784,-0.19380857,0.8248537,1.4212306,-0.7596078,-0.026198784
-0.48004648,1.2055411,-0.04401941,0.46641538,-0.06298294,0.32757348,2.0510406,-0.19351226,0.53358185,1.1580757,-0.46286228,-0.31433418,1.6584502,1.7399712,-1.2915518,0.80831134,-0.5672653,-0.4047865,-0.7298107,-1.0554894,-0.8635246,0.2669229,0.16607909
-0.46398404,0.1132306,1.6245772,1.1927509,0.73346084,0.4311446,-0.1594822,-1.1213957,-2.1415265,0.870151,-0.42740557,1.0645312,1.665371,1.9139665,-1.0064869,1.8307154,0.99475,0.38670915,0.5033042,0.58768284,0.62249154,-0.70838463,1.1383222
-0.24794385,-0.8187073,0.20606431,-0.6095488,0.62383837,-0.95869684,-0.44942442,-1.3744168,-0.8537047,2.7262204,1.3733039,1.1234156,0.9864611,3.0053914,-0.90024287,3.9908252,0.5563177,0.36721066,1.2383474,0.6436341,0.3614201,0.4861213,0.64450824
0.07921481,0.9439876,-0.466879,0.81338084,-0.9174987,0.1899441,0.1371235,-0.49292552,-1.0735714,1.0058674,-0.29757077,0.17762496,0.24180906,1.941227,-1.6141106,0.6084541,-0.4289841,-0.13820557,0.47373965,-0.840038,0.4701136,-0.4820624,0.22441186
-0.06506151,0.88712066,-0.35478434,0.71098274,-0.90296346,0.16323586,0.054615047,-0.5476039,-1.2126025,0.76598984,-0.42927852,0.17795242,0.3939,1.7807512,-1.6291319,0.43522644,-0.31574816,-0.0015418199,0.5034795,-0.6590576,0.4086249,-0.47080758,0.30497435
0.010001153,1.186519,-0.32643136,0.9055032,-0.85080016,0.14714432,0.039416876,-0.53296685,-1.1081359,0.8462794,-0.50855637,0.24478051,0.29641408,2.0471966,-1.508281,0.51954955,-0.27709478,0.056031723,0.5790967,-0.797909,0.2862674,-0.5143554,0.20661621
0.28042433,1.0178375,-0.6501958,1.5152248,-0.5337818,0.18253815,-0.30687734,-1.1043837,-1.5508703,1.09685,-1.1274292,-0.2817612,0.50108856,2.2906961,-1.6931119,0.69299304,-0.82082194,-0.47874027,1.2007539,-0.6631508,0.56872094,0.08326385,0.2572733
0.90011823,0.0073702587,0.79877204,-0.25161782,0.66598934,-0.28035894,0.4472851,-0.5369793,0.07106932,0.76058334,0.5491591,0.11152847,0.16176149,0.7996571,-1.3563566,1.1195041,0.63845944,-1.0265292,1.028171,0.72045517,-0.30162495,-0.46958604,-0.60639584
0.9206115,-0.050631568,0.8815626,-0.29644614,0.8920143,-0.03962683,0.3468736,-0.66515857,-0.07321429,0.98757553,0.6589295,0.2841649,0.2790587,0.962874,-1.5474257,1.2261358,0.64813113,-1.2586832,1.316589,0.6339808,-0.26095805,-0.30934116,-0.4476641
0.6982901,0.34380502,0.7807944,-0.05115282,0.073514216,-0.099022895,0.48788562,1.1704727,-1.9350686,-1.0741873,-0.7667999,0.91024894,0.33711356,0.37976012,-0.39789304,1.2635489,-0.8656925,-1.8450749,0.56514823,0.45434427,0.05226752,-1.5191141,-0.61522824
0.436407,0.36396673,1.0754651,-1.5355564,0.7158024,0.2652382,-0.8684464,1.1134313,0.4690652,1.5314358,-0.5317433,-0.47624072,-0.24293071,0.46841788,-0.25109792,0.69274217,0.11470515,-1.6533833,0.39616776,0.6191965,0.5845694,-0.035688873,-0.9601543
0.36111513,0.91149867,0.40235806,-0.01877064,-0.4730566,0.6545537,-0.78722745,1.0348767,-0.16435283,1.0830777,-0.3160783,-0.04454785,0.09467587,0.38922143,-0.193382,1.8651301,0.3318956,-0.5365608,-0.08345302,1.4504817,1.128434,0.17604123,-0.40452272
0.7405423,0.66271645,-0.7323509,-0.17520525,-1.0989033,0.22273332,1.497116,0.66168135,0.09860875,-0.5928551,0.6380101,-0.61478496,1.5493047,1.1130899,-0.91903687,0.8469321,0.7525104,-0.90241575,0.18005282,0.012310376,0.25049055,-0.8475237,-0.6540258
0.64572465,0.8461569,-0.5024825,0.037044022,-0.90731716,-0.3897389,1.33315,0.79967296,0.09475902,-0.78158844,0.8086695,-0.4590174,1.1936072,0.70926815,-1.086762,0.84963506,0.7714504,-1.3628203,0.060050808,0.08731596,0.24218322,-0.9391513,-0.81844604
0.7640731,-0.7550288,1.2242905,0.16472447,-0.43945333,0.39754853,0.16039781,0.0253405,-0.5947648,1.8563616,0.5052396,-0.68129355,1.1966867,0.543658,-0.3066531,0.9732509,-0.68379843,-0.061712608,0.017761074,0.39012805,1.0090209,-0.13887623,-0.57705945
0.6916635,-0.5574912,0.079342276,0.6486074,-0.5905622,1.1012212,0.13618341,1.2088336,0.3440085,0.55977374,0.32152948,-0.5380466,1.2836471,0.49619493,0.24517891,0.6448749,-0.04285063,-0.4544459,0.075562075,-0.19384006,0.81223446,0.43346903,0.66468096
1.1686655,-0.88263553,0.14984414,0.0027566766,-0.5165797,0.31763318,0.61733615,0.73335105,0.14602794,0.6321101,0.57731044,-0.47627652,1.2385269,1.1313448,0.50667614,1.2785394,0.3748825,-0.1350924,-0.4438007,-0.31275403,0.5526921,0.63056725,0.5250338
0.81859624,-0.9025819,1.2102277,0.12931831,-0.5470738,0.35739386,0.08941255,0.042619586,-0.6486338,1.7271547,0.5010751,-0.6493038,1.2326963,0.58441514,-0.2288417,0.93542767,-0.69456017,-0.03370435,-0.05998173,0.42361984,0.94371694,-0.20763613,-0.5277704
1.5056227,0.6704655,0.45487508,-0.25258717,0.116984,0.38147187,1.7674955,0.073977895,-0.9223259,0.49155548,-0.5544507,-0.90985173,1.2474184,0.21767016,-0.08715981,0.50087494,0.0661061,-0.0046930183,0.09827657,-0.6609326,1.0033876,0.85873455,0.07979187
1.6660565,0.5663981,0.5065944,-0.19203228,0.005909189,0.43550336,1.9962254,0.3542562,-1.1933445,0.54958177,-0.4012349,-0.8796704,0.9621267,-0.02383356,-0.11029337,0.7380934,-0.1606901,0.04350395,0.20942102,-0.3976911,0.976862,0.6785827,-0.10744505
0.7639496,0.04572607,-0.34745046,0.6963953,0.15235874,0.60010135,0.79032356,0.051963374,-0.3716362,0.22347097,-0.20248199,-0.4339388,0.8040251,0.20313849,-0.6096476,0.48247516,0.11879281,-0.36898586,-0.42231888,-0.058483407,0.66207856,0.44674483,0.11360001
0.7378283,0.14732407,-0.30322096,0.6841794,0.11548412,0.53779507,0.7993345,0.32143185,-0.4303377,0.29505157,-0.17578828,-0.56809247,0.43007085,0.11034638,-0.59466726,0.5194212,0.0127548305,-0.24463567,-0.23711503,0.06284589,0.7522684,0.42448372,-0.08742531
1.3298218,0.5588521,0.13568406,0.00044368888,-0.33217546,0.33094856,2.0808272,0.28358278,-0.35624975,1.0487529,-0.18620612,-0.6687869,0.99199003,0.45122176,0.14273381,1.2270342,-0.3310849,1.0425265,-0.2732653,-0.2655101,0.84772044,1.753103,0.59451526
