p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26
1.5435884,-0.36527854,0.6515299,-0.22872823,0.33901674,0.49361646,-0.19756408,0.85093445,-0.6566272,-0.86746484,0.44741607,0.5800226,-0.13604712,0.49790394,0.2728923,-0.88427764,0.15134904,-1.4205108,-0.36025795,0.25758246,0.96822006,0.98000616,0.48368976,0.47271687,0.115984656,-0.69376355,0.41890177
1.3299044,-0.1601435,-0.20738536,0.09822547,-0.4938458,-0.029289285,-0.084667526,0.80622727,-0.22121435,-0.62502843,-0.0848434,0.657707,-0.06810963,0.63212067,0.6606401,-0.7746659,0.24357736,0.11986211,-0.6466564,-1.0002364,0.7685934,0.17595103,0.47384652,-0.6537703,0.026681837,-1.0490209,0.52286696
0.7773329,-0.38101813,-0.50915974,-0.03731281,-0.4248325,0.10230231,-0.027452605,0.4863586,-0.049821682,-0.7784163,0.6988828,0.62121004,-0.13516176,0.3187114,0.55917233,-1.139776,0.283016,-0.13807784,-0.34501305,-0.92312646,1.0990094,0.96291316,0.3346812,-0.24813838,0.7456443,-1.4090317,0.20566788
1.4558917,-0.42854214,0.58340406,-0.28228375,0.23043975,0.48498583,-0.28613308,0.81720406,-0.5920721,-0.8718267,0.41437212,0.65829825,-0.11633321,0.51835364,0.18092158,-0.84895974,0.22627933,-1.4839541,-0.39663088,0.2145671,0.8980395,0.84623635,0.4171415,0.49958345,0.050346427,-0.72369224,0.5624973
0.910763,-0.2706488,0.016713519,-0.37072837,-0.43256298,0.57846135,0.9992944,0.7456078,1.033955,-0.42209432,0.50972444,0.08744513,-0.019242747,-0.611901,0.5407376,-1.1828817,0.85509765,0.3064304,0.24964835,-0.18051644,0.31775513,0.70349044,1.3512447,0.23651914,0.32245296,0.124552555,0.7547124
1.263966,-0.5442592,0.021113267,-0.34112653,-0.11995588,0.84808344,0.79182565,1.019205,0.9319074,-0.23266938,-0.015285789,-0.23846787,0.304338,-0.70322555,0.5928253,-1.1311444,1.0943815,0.4547028,-0.0049423757,-0.011210544,0.28155825,1.0610074,1.0335503,0.32268327,0.5873431,0.044710174,0.85117096
0.2204309,0.41731212,-0.6410022,0.23525912,-0.17934293,0.39347988,0.334538,0.32492507,0.1470085,-0.20469633,-0.15976675,-0.12341867,-0.38722053,-0.3351342,0.676914,-1.0391467,0.54073954,0.06320135,-0.3141615,-0.7416301,0.38801795,0.031014103,0.56912583,0.22030686,0.053382665,0.16282396,0.79737395
0.48737252,0.33092856,-0.507381,0.22824259,-0.04097911,0.476529,0.25254872,0.5975593,0.098814376,-0.01902197,-0.27432442,-0.37559614,-0.16632675,-0.39979067,0.5405486,-0.8055279,0.6332967,0.18417676,-0.3907622,-0.717333,0.34592173,0.19631745,0.5354545,0.21094397,0.30427766,-0.01145147,0.7453263
0.35683364,0.39391652,-0.4102851,-0.46603563,-0.31338084,0.92313915,-0.28264487,1.0328877,0.69505066,-0.01788412,1.1262918,0.19259596,-0.45157814,-0.14938842,0.6159048,-1.8164688,0.5889816,0.11503771,0.22142136,-0.4961696,0.7269929,1.2937561,1.6080626,-0.4104204,0.9292504,0.12155774,1.469998
0.71468675,0.1296841,-0.61766154,-0.40636966,-0.10776834,0.86163485,-0.6131491,1.3641669,0.50536776,-0.058415025,0.4947266,-0.22189263,-0.35286662,-0.1798478,0.5735165,-1.7619365,0.79684436,0.23240764,-0.10520032,-0.43285933,0.710717,1.6318241,1.2462695,-0.3829781,1.296896,-0.05646096,1.5593402
0.47798193,0.7565841,-0.6416866,0.11678347,-0.09412849,0.5870024,0.1170636,0.29849088,0.048412297,-0.13519357,0.23436849,0.13591208,-0.14876764,0.32786524,0.4271941,-0.85338616,0.4375091,-0.19482015,0.060004238,-0.3534654,0.2706521,0.017379086,0.38905632,0.27574915,0.073160075,0.27971378,0.41667804
0.8559566,0.58403623,-0.5869845,0.21246216,-0.03928237,0.6926032,-0.03305658,0.52895135,0.03536338,0.024925593,0.006669789,-0.031093195,0.0110747935,0.07428789,0.45473415,-0.81339663,0.5165982,-0.08342215,0.0636697,-0.31497812,0.2696179,0.061503388,0.2528803,0.30177528,0.20738581,0.19367686,0.62632376
0.48603654,0.11141653,1.2705504,-0.7142434,-0.4755655,-0.2783686,0.121480435,0.49150017,-0.32859027,0.2279064,-0.3395306,0.58455724,1.2787067,-1.5959654,1.4545181,0.56245595,1.3517107,-0.687471,-0.5755207,-0.9040956,1.9979188,0.19444315,1.7163966,0.41458347,-0.15938182,-0.13160439,0.14901969
