p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19
0.27811277,-0.87377787,-0.018767219,0.74237406,-0.8052581,-0.4884536,0.79127246,1.035107,-0.6972421,1.8344302,-0.16718458,0.66638607,-0.39354825,0.2578264,1.190224,1.4112513,0.9260678,0.5181605,-1.3210943,-0.6348602
0.14568488,-0.024649862,0.9787003,0.16473967,-0.41163805,-0.11758421,-0.036042765,0.18802321,-0.58400273,-0.061205015,0.53342617,0.020222872,0.28720945,-0.41976443,0.27381524,0.7789719,0.6274603,-0.74598384,0.020443164,-0.17601238
0.12573947,-0.59493315,0.5264951,1.305456,0.33077967,-0.75074387,0.6824844,0.78217316,-1.9977529,0.594774,-0.05147102,0.91984,-0.38270548,-1.0890937,1.352603,-0.7386952,0.14844713,0.3922096,-0.23872222,-0.92783827
-0.39846835,0.21734664,0.10222592,0.8533861,0.3328405,-0.4658831,0.09375433,0.0804732,-1.326302,1.2897701,1.3230722,-0.9064256,-0.5143884,-0.99925995,0.301963,-0.18972357,0.643903,0.33663282,-1.1942132,-0.26500544
-0.4068826,0.18966684,0.08096191,1.2395434,0.33351853,-0.47924954,0.14177167,-0.19465621,-0.9027139,0.9795245,1.5154815,-0.20409085,-0.44064906,-0.9545564,1.3364947,-1.1691668,0.505429,-0.04065066,-0.5341161,-0.35754886
-0.14516716,-0.43385255,0.0029649436,1.2523693,0.9072295,0.10736636,0.72460103,1.0253321,0.19156827,0.37848353,0.42081046,-0.5051577,0.3333933,0.047262628,-0.35696414,0.09463502,0.47286856,-0.44962788,-0.65033615,-1.8452922
0.29987124,0.93847114,1.1064603,0.67923623,0.31132028,-1.3404816,1.1760824,-0.39100048,-0.0744733,-0.72312343,0.24368554,0.28795245,0.21213304,-0.55264103,0.09785244,0.5506227,1.9713675,0.094032854,-1.7127566,-0.2675218
-0.70108336,-0.08539361,0.26480484,-0.29754633,-1.485202,0.3090228,0.25231364,0.1467395,-1.2627686,0.43199685,0.17956688,0.068166554,0.9420377,-0.7283286,-0.4532558,0.31011268,1.6676393,-0.40406096,-0.8492139,-1.0242825
0.2196738,1.266738,-0.028493376,-0.21681035,0.27064148,-0.41433686,1.1879847,1.3288076,-0.7519046,0.10740129,0.22478446,0.56404203,0.8268777,-0.2490827,-0.8005656,2.3544087,2.045894,-1.6333529,-0.08667374,-0.6051286
0.3648219,0.33763412,0.11062786,-0.31049827,-0.5088672,-0.7314646,1.170824,1.2913082,-0.110473104,0.0529325,-0.3622814,0.004712269,-0.046458002,0.19813186,0.21801056,2.1113389,2.0755103,-0.61695766,-0.5985408,-1.233379
0.11768572,0.27063337,-0.46256334,1.1083006,-0.53809077,-0.6335086,0.23925778,0.23091358,-1.2096366,1.6643943,2.3147323,1.803761,1.1182771,0.2988729,0.45048907,0.24340822,0.35874304,-0.15747882,-0.42205748,-0.20370227
-0.6569163,0.08996231,0.42239285,0.43742895,0.26726413,-1.4829137,-0.26503983,1.2336657,-1.6105132,-0.25980648,0.7961212,-0.93401957,0.1051304,2.593818,0.5590581,-0.16572356,-0.40796295,-1.6556523,-1.459427,0.20018843
0.5060545,-0.2365466,0.18585931,0.60390455,0.18922774,-0.30409718,0.67911035,0.7637184,-0.47831887,-0.8176093,0.6839208,-0.15212134,-0.63150394,-0.25148547,0.088419855,-0.7563108,0.8666537,-0.48597446,-0.6106835,-0.99617916
0.29378146,0.028269744,0.23214793,0.6393564,0.37429833,-0.07634703,0.38896137,0.7444778,-0.7989547,-0.73891795,0.5771074,-0.49098834,-0.87458354,-0.8461938,0.39471874,-0.60882264,0.8137382,-0.3427506,-0.66520244,-1.0549818
-0.17529967,-2.0695603,0.64700323,0.19147015,0.25572467,1.2002469,0.5146928,1.1227766,-1.0071849,-1.130953,2.0994241,0.2787719,0.5846716,0.6957388,0.4383809,0.45938346,0.49221024,-1.7383558,-0.82385075,-0.017925091
-0.19629188,-0.07245326,0.9608095,-0.55217266,0.14495069,0.18346626,0.864117,0.3998168,-2.4231694,-0.30165142,0.29360488,0.43105638,0.13369912,-0.19923298,0.3209729,1.5715327,-0.014037159,-1.5773425,-0.504351,-0.9444475
0.44047272,-0.25298646,0.27095258,0.119014375,-0.12689012,-0.36829105,0.32609507,0.8894933,-1.9039832,-0.80435807,0.5566404,1.4032143,-0.8827372,0.25697896,-0.31665653,0.52619225,1.7994615,-1.7115802,0.06273132,-1.9392476
-0.80035716,-0.47373086,0.12026058,0.43373266,-0.22059287,-0.036414146,-0.42710873,-0.29216507,-1.6342907,0.19690032,0.24349055,0.92613715,0.08859449,-0.15740272,0.1477422,1.1214852,0.7736657,-0.30280727,-0.4541106,-1.4459418
