p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25
-2.137478,-0.845916,0.39065814,-0.32942522,-0.36224908,-0.1893371,-0.39179605,-0.6429456,-0.66033685,2.3716702,0.62804615,-1.0529753,-0.16682322,-0.50364906,-1.4539998,1.9710121,0.5714977,0.85215724,0.41213346,-0.44798917,-0.43888536,-0.51122695,0.00865804,1.7224137,1.4573947,-0.1413936
-0.5931007,-1.1267217,0.2758486,1.4698203,0.13590156,1.0198199,1.0974048,-0.9387342,-1.6709173,1.0147994,0.67672956,-0.51648074,-1.0762182,-0.8003676,0.753835,3.2561705,0.69463,0.5819311,0.9537834,-0.39134923,-2.0793939,1.56651,0.5786521,2.1687686,2.4089456,-0.407843
-0.49381155,-0.08300761,0.07307214,1.6672204,0.33218625,-0.39090133,0.4965,0.30433673,0.020652464,1.0933393,-0.13534404,-0.44989833,-0.64949626,-0.05211317,-0.5325837,1.1010007,-0.8465704,-1.1457704,1.1368189,0.5229865,0.078909285,0.32116023,0.5234822,1.2975683,1.084166,-0.26831293
-0.49083617,-0.04403505,-0.0638128,1.6264007,0.2927359,-0.51078516,0.38738748,0.15891048,-0.14248028,1.0070417,-0.039836783,-0.43140617,-0.5582949,0.25636315,-0.66143394,1.0730023,-0.58874834,-1.1008693,1.1103892,0.5621121,0.15767391,0.29353872,0.6343523,1.2466875,1.1060015,-0.2575269
-0.5719892,-0.14245667,-0.019337416,1.8121061,0.25974604,-0.4569973,0.40301654,0.2509019,-0.11547871,1.0773158,-0.2415714,-0.3576863,-0.6289524,-0.041451037,-0.74685717,1.0831662,-0.4566256,-1.2410953,1.0711899,0.58144486,0.17728727,0.31924835,0.6167317,1.3580562,1.1354824,-0.15688199
-0.7525637,-0.22376381,0.066393524,2.1629326,0.1602129,-0.18398689,1.0959888,-0.61058354,0.18309541,1.6340243,0.41203612,-0.403564,0.049834978,-0.14231786,-0.061387125,0.7540971,-1.2398176,-1.5840636,0.88228536,0.6252536,0.33256903,0.3739214,0.20494923,1.6942427,1.9793298,-0.1132484
0.2610319,0.024605315,-0.2533368,0.25579733,-0.040094715,0.9849237,0.059389178,-0.025885122,-1.1150018,0.86172885,0.276387,-0.017450567,-0.18633185,0.22953187,0.8341932,0.98940307,-0.6186921,-0.4106431,0.58242655,-0.844459,-0.88080835,-0.035095256,0.5164842,0.97941893,0.4753803,-0.46307912
0.031793367,-0.15357573,-0.3383632,0.27351028,0.08936252,0.899549,0.1601871,-0.21295223,-1.2778066,1.0864555,0.3541481,-0.2266774,-0.3626614,0.29053804,1.0132195,1.236173,-0.5736919,-0.46628302,0.8282596,-0.9444787,-1.051716,0.055734094,0.46272972,0.9989246,0.34700423,-0.4934498
-0.43374512,1.8291047,0.09673593,0.18641134,-0.14360544,-0.17860825,-0.09484907,0.90837276,0.47633186,-0.6706221,0.7919087,1.2577901,0.48880085,0.09088269,0.6819894,0.06382757,0.04454519,0.30172804,2.4830456,-1.4843177,0.116445094,-0.42175925,-0.8386831,0.9121164,0.070035,-0.9846062
-0.15110397,0.7433377,0.85460854,0.41497976,-0.5479879,-0.80103624,0.5827685,0.030604923,0.13488242,0.99977255,0.4961454,-0.1324502,-0.055232015,-0.08834684,0.99168235,0.07799658,-0.8908927,0.4898444,0.52024376,0.53214234,-1.2555065,-1.0326724,-0.7646752,0.48627254,-0.35614377,0.31139243
0.97531724,0.6019823,1.469788,-0.037544765,-0.25451356,-0.4941835,0.34089056,0.33080667,1.1579514,0.5180399,0.6977941,-0.17236705,-0.33790985,0.2381023,0.29096243,0.76189035,-1.0869808,-0.06731128,0.37689444,0.38244691,-1.3276271,-0.32536852,-0.64559865,0.87362415,0.61485153,0.113764875
0.66096735,0.68664443,-0.51296467,1.1098603,0.58897066,-0.9970687,-0.37541372,1.2364632,-0.32271135,-0.04778511,1.0867169,0.40320015,-1.3453174,0.4090706,-0.2366619,-0.03195518,-0.66865116,-0.14783427,1.0785941,-1.2853118,-0.35561073,0.23156826,0.81503224,0.89121765,0.77413875,-0.05525825
