p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13
1.4815359,0.24877892,1.1981245,0.24177542,1.361232,0.53118294,0.46247742,-0.18275958,-0.5574065,-1.3389784,-0.17508154,1.0007046,0.059356328,-0.35013512
-1.2065064,0.72745055,-0.34850007,-0.21104787,1.4139533,-1.2434915,1.3157865,0.65728945,-0.36847344,-1.9719273,-0.13301885,0.4306175,0.41635442,0.57041043
-0.4013442,0.53664225,-1.5058237,1.2295545,1.5484165,-1.2047865,0.31366625,1.9955009,1.3381294,-0.30835405,1.1307116,0.19192463,1.172352,0.29280004
0.87982863,0.7084809,0.09087872,-0.8351745,1.6307583,-1.2577106,0.6669655,0.43126404,0.45958236,-1.8588817,-0.00047564815,1.49782,-0.3833994,1.2444282
0.22187464,-1.4640026,-0.77980834,0.9521765,-0.084880024,-0.48819393,-0.30980408,-0.3187074,0.88649,-0.4446188,0.95728284,0.40459618,-0.53048503,0.46704212
1.2793059,-1.9585128,-0.13983256,-0.10911216,0.8280123,-2.0947266,1.3248206,-0.7703705,0.0075403047,-1.0521045,-0.7486303,-0.1912641,0.59714854,-0.20719801
0.44881412,-1.7694308,0.049181446,0.42889246,0.4926437,-2.7515838,0.29707256,-0.44838783,-0.19031523,-1.2509202,-0.4076698,0.43584692,0.2968399,0.20057893
0.54251206,-1.8387668,0.31007954,0.47811434,0.32683095,-2.7714393,0.2182761,-0.46692038,-0.47763455,-1.2089484,-0.49610656,0.2774188,0.49339676,0.38518277
-0.077868916,1.5835497,-1.4125946,1.332983,0.34250453,0.59421396,1.3210542,-0.47017518,0.9522356,-1.064445,1.1831994,-0.15887275,1.0734147,-0.715354
1.3934622,2.3695672,0.46076763,0.73994887,1.0770456,0.48748615,1.6106918,1.1397375,-1.6844813,-1.2776244,0.27078864,1.3479383,0.6305183,-0.5062465
0.5137969,0.44554925,0.915373,1.6627419,1.3430005,-1.7635931,2.9645264,0.44748,-0.12070958,0.34761187,-0.3622824,0.50052637,1.0649818,-0.052583415
0.23832361,-0.35028014,0.6899526,1.4742599,1.3048086,-1.7515956,3.1345155,0.6806799,-0.11601326,0.27099955,0.0293723,0.92345065,1.0674428,-0.09512333
0.2685866,0.9423754,-0.41964912,0.7604462,0.72123265,-0.82072455,1.3080635,0.32279372,-0.14581493,-0.9402868,-0.30716458,1.231134,-0.83647674,0.71603465
0.25365397,1.0016942,-0.45494226,0.8083788,0.7887333,-0.71659154,1.2138321,0.26480985,-0.15513445,-1.064867,-0.27890894,1.1818228,-0.91907823,0.49176618
0.09845337,0.6965101,-1.1452785,2.4851909,1.7700893,0.36886758,0.20354588,1.1856068,0.6106212,-1.3928465,-0.641631,-0.5465728,1.1055839,-1.3137165
0.27617943,0.19283964,-0.16802725,0.7690136,0.212041,-0.35657626,0.35009378,0.062886976,0.08094204,0.12808022,0.508308,0.30072114,0.2421817,-0.25122657
0.25239727,0.60255146,1.4778631,1.1147441,1.5318476,-1.4602107,-0.9490946,0.44590297,1.094794,-2.616365,-1.857111,1.0765166,-0.79878616,0.68749344
-0.73008394,0.44132963,0.829962,1.7290589,2.1854107,-1.4755093,-1.3957094,1.5347917,0.80318207,-3.287352,-0.8507291,0.26373193,-2.2624478,0.19704612
-0.06432151,0.8909086,0.17016736,-0.117192775,2.414976,-1.8218874,-0.5972176,0.07349714,1.0243704,-3.0423424,1.2607783,0.24354142,-1.3632766,0.07496226
0.2623772,0.5337621,0.40560097,0.5375211,1.6406956,-1.0334245,-0.20630284,0.37603045,0.29768386,-2.2437136,0.27340454,0.48466882,-0.39676502,0.19102596
0.85272425,0.80559087,-0.8464076,0.14169165,1.0059173,0.030505896,0.29626518,-0.38938355,-1.1877472,-0.91770136,1.1453631,-0.60883355,0.713506,1.4228587
0.7666468,0.57705146,0.7533466,0.64053464,1.8278949,0.95920545,0.19236375,1.0316577,1.8097078,-1.7769259,0.25774196,-0.2712092,0.12251084,-0.08451781
0.5619448,0.3955727,0.40908837,0.5898109,1.4407438,0.7577894,-0.009414858,1.2867513,1.5638885,-1.4176261,0.73948455,0.025729569,0.47433123,-0.08681136
0.4985298,0.5982305,0.5964769,0.68162256,1.4870521,1.0194253,0.39797845,1.083658,1.4940628,-1.5143234,0.70276856,0.021250606,0.4577562,-0.02216788
0.46199486,0.48998985,0.63970035,0.74726677,1.6137455,0.88816875,0.34415787,1.0713277,1.2660722,-1.2870526,0.6459698,0.072613426,0.3398087,0.020213645
0.79124564,0.60244,-0.15175784,0.37050393,1.9413844,0.43506193,0.79886013,0.7570332,1.0815598,-1.220169,-0.011166328,0.45082042,-0.29901406,-0.32832125
0.6310289,0.61415935,-0.104585536,-0.06846364,2.0762587,0.12416066,0.85259646,0.40429282,0.6190215,-0.40890503,0.41034538,1.1014704,-0.1685565,-0.910323
0.70282054,0.52458256,0.038106617,0.00011826218,2.1756396,0.16832593,0.7851209,0.33640873,0.66960114,-0.3493772,0.507665,1.2758815,0.1745972,-1.096406
0.44578254,0.5879443,-0.08967704,0.40733546,1.2277794,0.20065783,0.40423658,0.63456637,0.5696235,-0.88153464,-0.21344437,-0.003698943,0.16344471,0.20013078
0.49933323,0.41107264,-0.19246991,0.5491939,1.3799471,-0.09742001,0.17092648,0.7284283,0.49892697,-0.6798461,0.2705913,0.27993456,0.27383417,0.047589313
0.45304394,0.53256303,-0.21852893,0.49780208,1.359527,-0.014518017,0.36468965,0.4850721,0.26996684,-0.57399756,0.21792336,0.38749355,0.19736579,0.06390773
0.4493036,0.58745724,-0.13722987,0.568517,1.544907,-0.012655296,0.29982662,0.57667553,0.16079834,-0.6025094,0.28011867,0.3551132,0.15405937,0.077835955
1.2950516,0.609549,-0.6582892,0.9078724,1.5480077,-0.15760526,-0.63771147,1.41027,-0.51257145,-1.1390197,0.91057515,0.75103194,-0.2758684,1.252098
0.34498692,-1.5004126,-0.9429032,0.7289127,0.50490916,-1.0530835,0.106821075,-0.41215923,-0.17299518,-1.8274695,0.45954114,0.613251,-0.6662043,1.3876961
0.5218707,0.2746877,0.5751988,0.9894898,0.74236,0.33676732,1.2938232,-0.6712294,0.29392934,-0.5911035,0.10068359,-0.13786523,0.4068884,0.3153632
0.8307146,1.2582486,-1.304616,0.368292,0.86792874,-0.654734,0.37197015,-0.37137204,0.45370692,-1.5324694,-0.67637414,-0.07374726,0.5789972,0.13028309
0.7595431,-1.2054515,-0.7159607,0.57610893,0.58233875,-1.0875151,-0.323315,-0.16991206,0.10142388,-1.3896585,0.52684164,0.5258916,-0.4630707,1.2906796
0.01530272,0.6647739,-0.18936262,0.77405286,0.7159985,0.57704824,1.1696084,0.040564403,-1.4121913,-0.8123608,1.18298,-0.042549524,-0.038853172,1.6999377
0.38154778,-0.0002568887,0.48533165,1.2862397,2.4953566,-1.0613059,1.7704695,1.1439908,-0.9098499,0.44666284,-0.3585079,0.75433224,-0.08404981,-0.19849698
