p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28
0.55875504,0.24404131,-0.33007833,0.087043405,0.16401051,0.23648399,0.2600856,0.40082082,-0.32626072,0.9943365,-0.57719016,0.67582834,-0.5633504,0.0890622,0.98023266,0.16951537,0.21495712,-1.2771803,0.5433925,0.5222924,0.057536665,0.53326994,0.019669577,1.5837247,1.2170639,0.27795535,-1.3246039,1.4511123,1.2837728
0.5688703,0.5411617,-1.0901592,1.2634327,0.18375388,0.9751729,-1.694752,1.3881693,0.10887556,0.8618068,0.9705797,-0.32439253,-0.08209204,-0.47651264,0.45784834,2.1462338,0.94369483,-1.0539583,-0.32349804,-0.38529176,-0.5241069,0.4257894,0.14927177,0.41530263,1.3944936,-0.07744547,-1.3217354,1.4358246,-0.054237604
1.2669991,0.6882482,0.31319237,1.1706645,-0.12622224,-0.78656113,-0.77463645,1.8016804,-1.7101675,-0.49892756,0.24189734,-1.1852785,-1.5495555,-0.5263421,1.5133406,1.8567816,1.6770254,-1.5215101,-1.206326,0.4573272,-0.9238857,-1.821577,0.37479872,-0.3112359,1.7148521,-0.7034424,-1.9425356,1.0506216,-0.6161819
0.25067794,-0.17740467,0.11102268,0.3228543,-0.26501173,-1.1956886,0.81659245,1.7114516,0.018745687,0.98126525,0.14960036,-0.38490653,0.25709242,0.6491759,-0.09507791,0.28067365,0.80532867,-0.5807558,0.47551975,-0.9431914,-0.085246265,-0.0025787447,0.13356462,0.023106482,1.2878306,0.24287081,-0.9162751,0.91131693,-0.24338225
0.22813734,-0.19307643,0.009080627,0.42948622,-0.26556987,-1.1995199,0.6299052,1.501917,0.048757702,1.079017,0.19805485,-0.45905104,0.2834743,0.7405977,-0.11109373,0.20504847,0.7113613,-0.4754558,0.2684027,-1.0287411,-0.018000957,0.09903989,0.101554,0.03931295,1.1500918,0.13997857,-0.8788981,1.0042384,-0.35214457
0.31827384,-0.3370271,0.108496636,0.26356325,-0.11944531,-1.1953298,0.64849186,1.5303117,0.21295372,1.0973843,0.253359,-0.53633726,0.17041504,0.7220241,-0.19732457,0.29930297,0.94119257,-0.4528795,0.3597744,-1.0391113,-0.05079304,0.049641997,0.20838778,-0.08084747,1.3331772,0.2552583,-0.9712794,0.95757943,-0.37277645
0.27962732,0.1838209,-0.53792226,0.7795655,-0.8464558,-1.3605705,0.97478527,1.9413084,0.4817945,1.3504537,0.32284024,-0.9339352,-0.12636839,0.61913925,0.009284215,0.38616517,1.0150036,-1.1746352,0.3498898,-1.2951574,-0.5085037,0.6614849,-0.2106084,-0.10795286,1.8770131,-0.01984621,-1.3238078,0.19205093,-0.48980644
0.12142445,0.60238844,0.15858088,0.36227533,0.24011083,0.34976774,-0.5498533,1.2692112,-1.4515866,-0.09727396,-0.090912856,0.19875409,-0.13028756,0.5278888,-0.42290077,0.20586964,0.7893263,-0.60000277,0.1198076,0.27972704,-0.114601225,-0.85943246,1.3224941,0.5971976,0.89860976,-0.40910253,-0.4419064,-0.03866855,-0.5329065
0.123779885,0.54829746,0.1079514,0.53770924,0.33737743,0.48016122,-0.70194674,1.5991725,-1.6333164,-0.07471279,-0.09668976,0.04666264,-0.28936192,0.31817093,-0.38605776,0.27062228,0.78179204,-0.7088258,0.12312053,0.1931634,-0.059548944,-0.9169389,1.1863991,0.7604192,1.0565997,-0.43723306,-0.54217243,-0.053920772,-0.5945711
-1.5853682,0.74691945,-0.4435379,-0.03977391,0.63184696,-1.023654,-1.2137815,1.053767,-0.6437378,-0.25544274,-0.63673425,0.78237176,0.22524709,-0.081345886,-1.4720397,-0.85609335,1.1280847,-0.50855494,-1.1062478,-0.4131362,-0.9070253,1.0713924,-1.0187819,1.046022,1.3151793,0.063450776,0.24980317,0.4528553,-1.1958122
-0.93723524,0.43878737,-0.23917496,-0.3142565,-0.42742229,0.94644946,0.24960849,1.1016005,0.24577783,0.43121186,-0.28162104,0.39649996,0.56740606,0.10739802,0.5327769,-0.3665478,0.5169902,0.22916843,0.8718104,0.658144,-0.607824,1.2236562,-0.4589286,-0.26812652,0.12074285,-0.15255386,-1.3363266,-0.087357305,0.18784718
-0.9094255,0.67053366,0.12446386,-0.07549852,-0.529912,-0.40384218,-0.33687967,0.94170433,-0.20302106,-0.07663109,0.6621744,0.80124384,0.8568042,0.0593712,0.58622706,-1.1639445,0.8952168,0.46433786,0.6588417,0.43709388,-0.83873326,0.77879995,0.2269711,-0.31320924,0.48934782,-0.13518912,-1.3787515,0.00932951,0.32234463
