p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23
-0.40395164,-0.7554369,0.005848668,-0.30998623,0.049011074,-0.029820422,-0.46868566,0.20385534,0.3591321,0.22895423,0.6835125,0.4577878,0.026231952,0.08497113,0.95802957,-0.57839966,0.06825123,0.17947444,0.98510915,-0.15844187,0.9123361,-0.43794286,1.1621941,0.45817474
-1.1482795,-0.40458724,-0.79152364,-0.76768005,-0.5768802,0.094223045,-0.2761619,-0.46595153,0.69016355,0.6560382,1.3257467,0.3517527,0.9853921,-0.71429306,0.21323827,-0.63386035,0.057895903,0.49252644,0.6833724,0.08932885,0.41828462,-0.047951866,1.743436,1.2979374
-0.70558757,-0.5822237,-0.31911066,0.09136981,-0.31422678,0.04905769,-0.566219,0.6926345,-0.30567303,0.19650245,-0.2060838,0.18701406,0.10368477,0.045314416,0.0366347,0.00011153022,0.13570173,0.16350977,0.5034386,-0.16998829,0.49788976,-0.429541,1.0943481,-0.23616537
0.56632954,-1.1792789,0.43001702,0.3881146,-0.1096138,0.96713096,0.046148982,0.12724903,1.3580098,-0.14517939,0.7213603,1.5773182,1.0033695,-0.81958544,0.30966568,-0.8499066,-0.64667076,0.78514546,0.40456387,-0.17833272,0.09426362,0.45762548,1.2334622,0.119565286
-0.5365415,-0.19520874,-0.12713435,-0.31214082,0.3845913,-0.584886,-0.15839233,0.0021492143,0.12701792,-0.45704895,0.76119006,1.8920275,0.7428075,-0.0027900352,-0.79917294,-1.397097,-0.15211762,0.58750415,-0.08034852,0.028848913,0.7535876,0.38479573,0.7897663,0.769748
0.27367687,-0.33200145,-0.32811242,0.20720129,-0.1006686,0.2097221,-0.36835212,0.66414875,-0.027628833,-0.6425515,0.44468853,1.3584743,0.39330295,-0.9462327,0.32004997,-1.5352058,-0.7779015,0.90229744,0.5517029,-0.37691405,0.950952,0.7535774,0.43031046,0.55591035
-0.025464136,0.3093252,0.46470237,0.24690147,0.21344653,0.14586025,-0.7242226,0.8337984,-0.009988259,-0.16691533,0.46075878,-0.019794293,-0.015448547,-0.14681889,-0.9179858,0.2524288,-0.8700252,-0.052676726,-1.3038472,-0.9489148,0.96554446,-0.4655714,1.0091559,1.0661242
1.4870487,-0.68947667,0.30292112,0.21197304,-0.71534497,-1.3235251,0.14810956,1.8576903,-0.18196881,0.18921143,0.2691509,0.45476118,0.8232667,0.24896552,-0.5257364,-0.35492817,0.8563461,0.75170606,-0.8494157,-0.11263273,0.30110878,0.6232334,1.5113951,-0.4493139
0.4427866,0.6397504,-0.5464265,-0.035130322,-0.3311442,0.07608481,-0.15126848,-0.23475823,-0.7630301,-0.045919657,0.27415103,0.35984144,0.20249213,0.44051248,0.016667284,-0.45244208,-0.15349594,1.110488,0.11246003,0.53887194,0.9192001,-0.28423208,2.2416704,0.93027
0.25680932,-0.20993817,0.87086254,0.7414909,-0.33694407,-0.97890913,-0.40957564,1.1673157,-0.22588655,0.44710654,-0.38417765,-0.94027066,1.069674,-0.37393898,1.3258085,-0.6858031,-0.35048726,-0.6264383,-0.4057265,-0.8350858,0.5815166,-0.38728175,2.7663963,0.7305044
-0.26835594,0.7956678,-0.44851246,-0.031587973,-1.3323145,-0.677076,-0.18405695,0.61236954,0.7053087,0.39241815,0.4665195,-0.8857914,1.4544398,-0.770973,0.16407931,-0.42901927,-0.040863443,0.03428363,-0.6770429,-0.1466202,0.023353295,0.023793912,2.3458467,1.3025885
-0.7213358,-0.72067004,-0.25675154,-0.23245853,0.12152606,0.14410912,1.2054771,0.71171975,0.6237616,0.5022604,1.2162364,1.4926031,-0.21117568,-0.30153027,1.749121,-0.38322765,-0.8007881,0.02247567,0.376715,-0.9099517,0.925801,-0.24222164,1.2716087,1.1111231
0.51493466,-0.81168085,-0.3459291,-0.8125055,-0.18322538,0.2866901,-0.3966628,1.1850406,0.37727666,-1.1020882,0.04785712,1.1461695,0.07992941,0.7646247,-0.4309057,-0.45474076,-0.13983417,0.38287917,1.5955501,-0.58636266,-1.4023399,-0.48287588,1.4062629,-0.6071678
0.39994234,-0.42523772,0.3884092,0.57232237,-1.0759454,-0.17140609,0.6482571,1.0892802,0.086670995,-0.60695106,0.60983086,0.84075683,0.060583234,0.5803693,-0.55846816,0.120033525,-0.37888697,0.25183332,-0.11713112,-0.81623477,0.63076526,-0.6561452,0.6299317,-0.3609615
0.6171882,-0.98273337,0.5686049,-0.13045178,-0.28546467,-0.7775584,-0.20549363,0.488019,0.22229287,-0.065051325,0.116227984,1.6276438,-0.101757355,0.37182927,-0.42728835,-0.4145185,-0.3719653,0.45078656,-0.12365912,-0.8395038,1.0315727,-0.4715511,0.4853583,-0.57211
-1.0393069,-1.0324917,0.0089086555,0.08811337,-1.5737666,1.1486666,0.2746719,1.5720083,-1.3761557,-0.3705252,1.1835167,0.22181462,0.5247742,0.99711305,-1.326693,-0.083603494,-0.60478216,1.0467908,-0.2780547,-0.61212647,0.1558617,-0.8846717,1.1381816,0.13080566
-0.17475675,-0.9186041,0.16744299,0.50460804,-0.26526064,0.56802195,0.3657883,0.69321376,-0.5287736,1.0333871,0.47105744,0.41235077,1.1983101,0.47212622,0.13009062,1.1192528,0.052976184,1.3666805,0.29891822,-0.4551195,0.6111111,0.033581372,1.9094204,0.7656996
0.5140591,-0.5552408,0.18835726,0.6960921,-1.0919924,1.0822407,0.59046566,0.73030514,-0.060454603,0.68026537,0.31050202,0.1417569,0.68342334,0.27499226,-0.9848484,-0.044421837,0.32407495,0.6950836,0.26038188,-0.9593515,-0.016688649,1.0814067,2.5159912,1.5800582
-0.51862943,-0.39144155,0.50427973,0.3597041,-0.065445065,0.683969,-0.12278205,1.2506784,0.7039903,0.19607173,-0.19010352,-0.35651195,-0.30232093,0.76795167,-0.4476001,0.57794046,-0.45684308,0.5384924,0.3411874,-0.20808865,0.6190962,-0.5093865,1.669473,0.40917975
0.42148644,-0.31804198,0.49442118,-0.6062085,-1.1104496,0.5809597,-0.36824462,0.69799787,-0.28446043,0.42906308,0.5673488,-0.06422119,-0.05154952,-0.45846644,-0.0867007,-0.12299441,0.43913686,0.8508315,0.6807898,-0.89502573,0.55592567,-0.5467176,1.0948783,1.0286196
0.2759038,-0.9158953,0.12710997,-0.038752116,-0.8090336,-0.5022262,0.88720465,0.980039,-0.4876914,-0.7671858,0.79469234,0.81005543,0.89215827,0.93368244,-0.5541169,0.21116926,0.08508145,-0.33238274,-0.12042116,-0.96182424,0.66717654,-0.46289453,1.1830288,-0.5774218
-0.20900716,1.1698536,0.1495656,1.505025,-0.6528102,-0.023022104,-0.38290134,-0.060013615,0.44371158,0.27764526,0.6163424,1.8830925,0.18073992,0.09434437,-0.3747614,0.9090551,-0.35984975,0.6252937,0.09180791,-1.5633829,1.7367285,-1.2307429,0.4611386,1.0345976
-0.20448035,-0.6937211,0.6144156,-1.1010224,-0.38724768,-0.018825956,0.43377504,0.21025665,-0.8224669,0.16596533,0.12026512,0.47308362,1.1109023,0.44401428,-1.2925725,0.44418016,0.8081219,0.8735077,-0.15077513,-1.0477678,-0.4246405,-0.26945317,2.2155228,-0.29103288
-0.52229327,-0.80360425,-0.4031065,0.6538894,-0.4677185,-0.18134773,-0.6065853,0.722724,0.030804928,-0.39900512,0.10671868,0.247294,0.19450311,-1.3664762,0.18302605,-1.1416402,-0.12478484,1.0235993,0.10195107,0.4271224,0.5841621,-0.3976152,0.29548123,-0.4950172
0.12148512,0.97098416,1.4468426,-1.5624645,-0.41119975,-0.36989632,-0.7291563,1.8705788,0.42346185,-0.035983946,-0.2575881,0.42230877,-0.022518383,-0.3432621,-0.28588393,-0.009338445,-0.9926147,0.26246312,0.46864954,-0.5417319,1.0557096,0.3498758,0.85900193,-0.5546151
-0.34160736,0.55397487,1.0347041,-0.7634833,-1.1218375,-0.2588003,-0.32963404,1.4195447,0.4925304,0.30122027,-0.08175693,0.5345142,0.14624216,-0.73287386,-0.63090265,0.5392601,-1.1017672,0.03726475,0.6749614,-0.06837518,0.54607385,0.34565023,1.3068907,-0.77816486
-0.32788166,0.5369123,1.0896398,-0.9775647,-1.1340506,-0.34490037,-0.3866159,1.4289252,0.6853207,0.46698812,0.015106276,0.37135872,0.3080669,-0.7462076,-0.5359828,0.4115146,-1.1137829,-0.044309102,0.5222972,-0.24830963,0.47249374,0.39792213,1.1607159,-0.69618237
-0.4580787,-0.5697535,-0.14310287,0.6633405,-0.18920916,-0.84772754,-1.8950797,0.07425305,-0.29830182,0.38622802,-0.17732309,0.7139448,0.5894404,1.0731958,-0.46586993,0.2453074,-0.48099938,0.98813057,-0.1586094,0.5101008,-0.3664863,0.08845551,1.5980864,0.4214754
-0.037361007,-0.21160199,0.34754062,1.038692,-1.1142051,0.0027862159,-0.01802965,2.2586524,-0.6259098,-0.9442002,0.27998236,-0.33393615,-0.88439023,0.30484357,0.12093158,0.76807547,-0.9367373,0.74504316,-0.79375917,0.32555455,0.63209623,-1.8311745,1.6233652,0.8478048
0.52376175,-0.5704327,0.8803434,-1.188984,-0.579448,0.384414,-1.5968194,0.6461307,0.5126861,0.34162205,0.3089514,0.59901774,1.0650288,1.2345495,-1.7057061,-0.3280333,-0.36427915,1.2722176,-0.813688,-1.0605918,1.3045423,-1.0904763,0.78791505,0.6054967
1.3546839,-0.26896176,1.3374096,-1.3053765,-1.0562716,0.46329105,-1.5363152,0.301236,0.3083796,0.023070104,0.032062702,0.3370481,1.4078776,0.20291615,-1.1162443,-0.052246947,-0.05672231,1.3167937,-0.27467665,-1.3427149,1.1603715,-0.25495136,1.1555967,1.1019409
