p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17
-0.78673863,-1.2063625,-0.014817155,0.27945244,0.112486035,0.91443676,-0.1477742,0.2924591,-0.9226493,-1.6358315,1.0483685,1.4791659,-0.28561792,0.8521941,0.39238462,-0.45734736,0.5475302,0.4202757
-0.2133253,-0.283852,0.41818905,0.8092007,0.4461562,0.2554826,-0.38515294,0.2068602,-0.68234557,-0.6825855,1.6662871,0.2878592,-0.560237,1.1255568,0.6404624,0.32916003,1.9251318,1.4426147
-1.1495464,-0.2164744,2.387532,0.28471866,0.824697,-0.30802947,-0.44744992,-1.0573083,-0.09140408,-1.0475572,1.2510304,0.15929821,0.12749769,0.72109103,0.19372277,-0.472761,0.49440256,0.47120047
-1.0079114,-0.40214404,2.5095055,0.028232113,0.19042398,-0.594001,-0.6877744,-1.0153581,0.14015774,-1.0380206,1.4625429,0.36606196,0.32273674,0.979042,0.440758,-0.24682866,0.3789577,0.71401286
-0.30095252,-0.46013013,1.4313004,-0.2712126,0.22497384,0.65485346,-0.008231899,-0.20026356,0.30465463,-0.8516419,0.818482,-0.11549993,-0.100608364,0.55443394,0.18325518,0.52916574,0.106544085,0.009613414
-0.07464462,-0.3178805,1.4155002,-0.4797593,-0.10409367,0.4094212,-0.08986741,-0.44514576,0.1928432,-0.60969555,0.8896452,-0.0060922955,0.047156855,0.7145244,0.21674842,0.41292593,0.047046173,0.33969423
-1.5980939,-0.40895563,2.1298976,-0.020762403,0.54584455,0.16749373,0.7018904,0.06213546,-0.91755056,-1.3934302,0.49400046,0.7089665,0.47231358,1.5248238,0.08453835,-0.00034915848,0.99647343,0.46551874
-1.5336136,-0.47403923,2.3139145,-0.25767958,-0.07898368,0.088862054,0.56799585,0.32353622,-0.77210456,-1.1425397,0.7294741,0.7828269,0.50576955,1.5247393,0.15568244,0.22379656,0.90261495,0.8105293
-0.42732307,-0.093525276,0.9049684,-0.2041876,0.33693787,0.5461387,0.50589466,-0.31978914,0.44050133,-0.72355515,0.62675285,0.18046531,0.006213787,0.53467786,0.14365359,0.674287,0.43585655,-0.026673228
-0.23072885,-0.31097654,1.1146662,-0.36872518,0.09438353,0.4160907,0.30746093,-0.33412585,0.4980188,-0.6522683,0.81695,0.10863888,0.031783637,0.6705172,0.011121543,0.64828223,0.48120356,0.41383114
-1.5273268,-1.2200667,-0.6601758,-0.5830956,0.5263631,1.3327574,-0.82771707,-3.13827,-0.9185784,-0.13393931,0.8630044,-0.34259027,-0.24189705,1.9965211,0.7727262,-0.96748585,0.13684177,0.05951352
-1.4625857,-1.143746,-0.6711408,-0.26899788,0.92758435,1.2604519,-0.49024794,-3.3907232,-0.59601146,0.013124222,0.6127061,-0.7534297,-0.37314546,1.7169068,0.8505914,-0.4664619,0.12933983,0.61068296
-1.5009894,-1.3197407,-0.44645724,-0.21784425,0.7014857,1.1711228,-0.6352364,-2.9844863,-0.24687672,-0.26486647,0.82389504,-0.4901178,-0.6287127,1.4571831,0.62204343,-1.1211587,0.27420372,0.42327815
-1.4871281,-1.43289,-0.4911136,-0.35727283,0.48420683,1.3745878,-0.84396833,-3.1405578,-0.7083926,-0.14205109,0.9232982,-0.17492571,-0.26328346,2.0886378,0.68537325,-1.0075269,0.06757445,0.23130205
-0.90394557,-0.5318693,-1.1729941,-0.7740338,-1.0304875,1.2081991,0.08502675,-1.4667691,-1.7382747,-0.7914469,1.9468081,0.43208072,-0.14339975,1.9217548,1.0864047,-0.6359889,-0.5018239,-0.92374694
0.013116573,-0.5534992,0.8275378,-1.4030696,-0.80809474,0.42461956,-0.3904175,-0.3050095,-0.6682051,-0.07139165,0.4857992,-0.009907038,0.5927505,0.5431639,0.77574545,0.7450595,0.9202596,0.18510309
-0.03500725,-0.24672581,0.77695316,-1.605931,-0.8542328,0.35066408,-0.09007172,-0.30985615,-0.86751485,-0.21349354,0.57545,-0.25810993,0.589833,0.5510881,0.9716502,0.7516376,1.0320067,0.17171817
0.16238758,-0.596397,1.09544,-1.4022558,-0.79181004,0.5187079,-1.0233907,-0.1929444,-0.9810463,-0.3226901,0.5944349,0.2139892,0.40802938,0.4738348,0.86495686,0.50834453,1.136884,-0.20167413
-0.10485638,-0.40840536,0.73279285,-1.4242973,-0.869115,0.42099616,-0.12808102,-0.41294116,-0.76131535,-0.11850943,0.41576445,-0.20121184,0.69981724,0.59507674,0.8485114,0.7198472,0.9890794,0.05187543
0.1803897,-0.5725342,1.1796902,-1.5262399,0.7912359,-0.053085275,-0.70863086,-1.0442969,-2.015712,-0.041136,1.509184,-0.7764054,0.87706214,0.7293594,0.56534064,0.5898157,0.88136685,-0.26845434
-0.027550515,-0.46406728,0.14263172,0.26616916,-0.36708617,0.8446941,-0.26191306,-0.27445891,0.09331486,-0.20278229,0.7363413,0.38801122,-0.48508906,-0.42265135,0.1991474,0.75080675,0.935005,0.055282507
-0.66417617,-0.061253857,1.4985027,-0.538152,0.6337112,-0.038816936,-1.5986514,-0.4522722,-0.15051807,-0.53659993,1.6939851,0.2991235,-0.12685332,1.3046334,0.3762874,-0.4296527,0.8016967,1.2975276
-0.6053584,-1.2174331,0.013429203,0.16438994,0.088057294,0.9864782,-0.07436678,0.15787713,-1.1208413,-1.662354,1.0452278,1.4302447,-0.21963662,0.9106453,0.15468824,-0.43140006,0.49472678,0.5232975
-0.42470273,-0.81095123,-0.1791878,0.29820028,-0.037725545,0.5082354,-1.4141409,-0.43764892,-0.8936261,-1.135993,1.729618,0.94432884,-0.06518096,1.4401991,0.6205541,-0.6693056,-0.2007865,0.11004899
0.66178066,-0.64991665,0.4391105,1.1894131,-0.43029267,0.6908732,-0.26449275,-0.9145811,-0.16462673,0.09212269,0.5084327,1.6720512,0.5155125,1.1263523,0.92262155,-0.14047065,-0.079144984,0.20649469
0.03502822,0.2194979,-0.51800066,0.52617496,-0.8133164,-0.055461444,-0.865095,-0.18782422,0.1866342,1.0737962,1.2773665,0.41209242,-1.3385001,-0.0016143438,2.3356836,1.0947115,1.8166728,-0.3543876
