p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12
0.04113412,-0.89199436,-0.56990826,1.7136117,-0.34105995,-0.6738921,0.83926934,-0.27524123,0.2879492,2.842372,1.6167628,0.96961886,0.122957334
-0.035059415,-0.16566028,-0.6721027,2.5129173,-0.65891594,-1.2359709,2.0500298,-0.80673736,0.45964828,2.9004388,1.746564,1.5123861,0.079872094
0.27995354,2.138009,0.75182676,0.20695758,-0.026485039,-0.48511678,-0.76398754,-0.13582131,0.4822912,2.1346817,-0.26615942,0.474109,-0.97142076
0.31262356,2.304637,0.63116807,0.2565712,0.16944781,-0.58536744,-0.62890613,-0.022457357,0.40023133,2.3285213,-0.089469284,0.5911163,-1.2212425
-1.3110279,1.9668071,0.122205146,-1.438041,-1.8923781,1.939313,1.784183,-0.04192668,1.0594051,0.36118066,2.1493208,-0.62038654,-0.34414986
-1.6590935,0.81823665,0.5267817,0.48030582,0.6652377,-0.16717315,-0.5774642,-1.0284911,1.3852783,1.7687386,0.35882413,-0.6552935,-1.0353705
-0.3494014,2.0701406,1.7926285,-0.2690008,-0.3854988,-0.16186497,-1.0781035,-0.71639806,0.30193746,1.3268511,0.8828676,-0.119552225,-0.10400454
-1.6398867,0.2976988,0.75970954,-0.21337554,-0.33506337,2.5239048,0.015275272,-1.1881232,-0.95448345,1.0039278,1.4307027,0.38924164,0.95220256
-1.4549855,0.5848515,0.43204343,-0.6655348,-0.46081033,2.3063686,0.04720892,-1.7935164,-0.6261197,0.7684251,1.2540879,0.5145369,0.7964069
-0.05076187,0.4757072,1.1647978,0.5362035,-0.89454997,-1.1923993,0.9413209,0.6060732,-0.61513823,1.0324104,1.4598566,-0.0038690248,-2.3445916
-0.7920898,-0.29431173,1.6455408,1.0317274,-0.97033036,-0.4230888,0.32380584,0.46955,-0.6963076,0.32876885,1.7173985,0.2441168,-0.13260175
-0.32626203,-0.21257833,2.4179451,0.82935697,-0.35939345,-0.6843637,0.22543661,0.23723954,-0.3491289,0.9329737,0.92735577,0.17641582,-0.14192013
-0.03671055,0.3717347,1.2315075,0.69264597,-0.74929947,-1.0848016,0.95577866,0.61722463,-0.5959148,1.0216289,1.413457,-0.10501435,-2.3062084
0.5852068,0.48562202,1.0535061,-0.55095005,-0.8289179,0.0060260985,1.35862,-0.4956005,-1.5833898,0.45107478,1.3504746,-0.59893584,-1.1662544
0.6367461,0.5446143,1.3803082,-0.5382971,-1.0698587,0.18288705,1.3069882,-0.24678575,-1.6022209,0.57894033,1.2486445,-0.7802017,-1.0710635
-0.18418495,0.78493786,0.5613544,-0.35482022,-0.41355985,-0.6305362,1.0105183,-0.7092603,-0.7455507,0.3674479,0.82994115,0.3634992,-0.9573882
-0.040700752,0.8052735,0.79500604,-0.6247278,-0.44230694,-0.4711098,0.88714623,-0.54089737,-0.62092054,0.41636562,0.8401647,0.21772623,-0.6931451
-0.26526552,-0.2817778,2.5715752,-1.3133744,-1.1686763,-1.3801888,-0.08937344,-0.22132918,-2.1843872,0.92694765,0.44152784,-0.43638492,-0.9423334
-0.26525134,-0.24722245,2.8152459,-1.3071758,-1.2535385,-1.2444898,0.21317296,0.012569613,-2.2520757,1.1015143,0.4344351,-0.60163784,-0.80595744
-0.48803088,0.46180022,0.79654896,-0.57872957,-0.44408086,0.08649055,0.6617707,-0.44414422,-0.82030594,0.35662454,0.21110664,0.5119758,-0.97332615
-0.54025203,0.36274526,1.0842865,-0.6624757,-0.39887694,0.11917448,0.7946555,-0.442349,-0.7602037,0.5017858,0.07864717,0.3097377,-0.76288927
-0.96253365,1.5007925,1.9396697,1.8814075,-0.484649,0.101443075,-1.058341,-2.496446,0.28783837,0.22977623,2.4147637,-0.08605725,1.0448965
-1.2356969,1.7769413,1.4858154,1.9284896,-0.921063,0.12369455,-0.8774969,-2.0579333,0.72012997,0.3590342,1.9830327,0.12242564,1.1604428
-0.90959257,1.6169933,1.7327458,2.2101793,-0.2935929,0.43119127,-0.41065678,-1.5521498,0.7799047,0.044545215,2.3532019,0.15673728,0.6323325
