p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9
-0.35007325,-0.16784717,0.5725162,0.3834683,0.43805096,-2.1937168,2.2813294,0.95363474,0.20864914,-0.8366637
-0.06344388,0.18888396,1.084329,1.1626321,-1.3012291,1.5210756,1.2823114,-1.3297795,-2.1481693,-0.011572438
0.7781252,1.0084869,-1.0838455,2.0973184,2.0970244,-0.92938095,1.6878129,0.14537911,-2.4757514,0.594804
-1.591593,0.35267484,0.76459765,1.9699001,-1.2113558,0.6057112,3.07175,-1.15347,-1.3708404,-0.2553684
-1.35026,0.7180382,0.5447887,2.5478532,-0.61528736,0.077062964,3.06406,-1.0505848,-1.1881529,-0.30791736
-0.4811204,1.6362321,0.26578015,0.66009456,0.22033611,-0.091386355,1.384946,0.64536583,-1.2468232,-1.1422186
-0.4177999,1.650789,0.43663383,0.7104701,0.30004787,-0.11845426,1.3311516,0.5502682,-1.1732706,-1.2813659
2.1889,1.2136045,1.587253,1.6901481,0.3679811,-1.3473451,0.95053333,-0.95160234,-1.5761508,-1.3330992
0.46271592,0.6890984,0.5302822,0.34071007,0.047652718,0.06528523,0.88819766,0.012286931,-0.19080915,-0.3748778
-0.63058585,1.934884,-0.24673024,0.21369593,3.8427396,-0.13624,1.4584677,-1.5508997,-2.8839705,0.4191383
-0.019777091,2.5150476,1.5739282,-0.4879544,3.7236588,1.4609257,1.6290505,-1.2852833,-3.5916996,0.40634748
-1.1881299,1.1435889,0.5058342,0.2879744,2.19988,1.9182335,2.2059996,-0.34474796,-2.9795198,0.11492938
-0.5934749,0.2915594,0.4065024,0.7911885,1.7367293,0.040256113,1.5520527,-0.29452974,-2.5935924,0.5205806
-0.23361239,0.30853096,-0.2794825,0.1715242,0.36969218,0.2459718,0.41759875,2.278694,-1.2579619,-2.0395613
0.881027,-0.027577838,0.6208744,-0.0442736,-0.22281663,1.5313723,0.7380875,0.6599146,-2.296906,1.0488448
0.48644045,-0.0122050615,0.31503847,-0.120528586,-0.17657115,1.3136241,0.7308146,0.4944031,-2.309017,1.049621
0.5106613,0.16697831,0.6501752,0.0011374974,-0.17772028,1.1252669,0.5002727,0.63959503,-2.302244,1.2488155
0.56875193,0.25967374,0.60422283,0.047396544,-0.14905405,1.0749434,0.27535293,0.60487264,-2.305933,0.8507746
1.1404916,0.8715644,0.5983818,0.48609895,-0.507003,1.247993,1.053584,0.69467497,-1.9009957,0.41811207
1.1669648,0.7195031,0.13144849,0.33660215,-0.8279843,1.1170901,0.989178,0.7415675,-1.6079713,0.5287716
1.3666391,0.47290313,0.05655429,0.6420604,-1.0405072,1.279458,0.89629656,0.7864796,-1.6940715,0.3737573
0.6963843,0.5566418,0.45321417,0.11885421,0.16536213,0.747002,0.58403796,0.3190936,-1.39913,0.21245791
0.6296324,0.5759836,0.21164553,-0.008489602,0.17100543,0.7312611,0.7943793,0.3081113,-1.6711555,0.093955465
0.7382945,0.5750496,0.36198458,-0.03421644,0.15947147,0.65049374,0.6945698,0.28757456,-1.5769238,0.07981917
0.7687933,0.7005317,0.3354348,0.030196827,0.13774022,0.5355089,0.56727487,0.3184518,-1.7042142,-0.06660958
-0.66784054,-0.6432743,0.16950734,-0.58351594,-0.5512387,0.36364225,0.8562132,-0.27631122,-3.0571842,-0.73709774
-0.5292036,1.4108143,1.8668656,-1.7587154,-0.16772494,-1.0260278,1.7204547,-0.12483929,-1.878008,-0.37393945
-0.2754609,0.0004607142,1.3565655,0.016564889,-1.1676321,-0.9423079,0.6528085,0.39886302,-0.7104903,-0.18121873
-0.41536653,-0.10991339,-0.5552883,1.1011533,0.73865014,-0.65802056,0.48457474,-0.53824717,-2.2073152,-1.071212
-0.6005296,0.9402165,1.4424921,-1.092206,-0.34064364,-0.71033186,1.4584782,-0.08789256,-1.3030158,-0.7310354
0.15837157,1.0062873,0.3648151,-0.35370907,0.82306683,-0.46189046,0.21513233,2.0486782,-1.0983889,-2.0568273
-0.45854414,0.66834664,-0.257105,1.0276303,-2.37117,-1.8711203,1.6865253,-0.6622997,-2.4151013,-1.3030102
