p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27
0.98920643,0.50803155,-0.68955064,0.16471294,0.7972011,-0.788523,0.9641614,-1.0399752,-0.4048442,-0.65892655,-0.40742588,0.21839818,-0.9058107,-0.07076288,0.4073921,0.18304694,0.6592961,0.79568607,0.30834162,0.42114374,-0.39136642,0.44820586,0.059262905,-0.031864762,0.16186544,0.36550024,-0.024495728,-0.34292927
0.9260275,0.5985785,-0.6967041,0.028738908,0.23327866,-0.5739102,1.0010419,-1.2691675,-0.44936875,-0.88971835,-0.76802677,0.47143143,-0.9131111,0.118446805,0.11832698,0.2965245,-0.09321216,0.9488125,0.15414226,0.59223586,-0.71820325,0.29005107,0.30846402,-0.19691943,0.75514275,0.47158644,-0.074150875,-0.2770115
0.1822299,-0.43762654,0.14713407,2.0218737,-0.044538263,-1.3295133,-1.045597,-1.004007,0.86361074,-1.3472694,-0.06228194,0.012220822,-0.10703967,-0.3617719,0.22725096,0.7876531,0.35583973,-0.41146982,0.4086366,1.1198368,1.181604,1.0010713,0.42876214,-0.030110711,0.14127187,0.27906626,0.1752371,-0.6988857
1.9370872,0.8171985,-0.4961688,1.2370625,-1.0658749,-1.7029506,0.94895786,-0.8287446,0.86880946,-1.1336545,-0.009381435,0.21186824,-0.057871845,-0.016801026,0.46530056,0.74541605,-0.11414484,1.0650941,0.3845497,1.5880396,0.15766345,-0.5484267,-0.50149834,1.2939131,1.3429444,-0.17095156,-1.0485,-0.8192606
2.410014,1.6387988,-1.2118971,-0.094673425,0.17881855,-1.9779043,1.1682131,-0.517762,-0.36374882,-1.4319732,-0.6280233,0.16287778,-1.6607003,-0.29278716,0.6238912,1.3665038,-2.1909456,-0.018634329,1.2529233,2.6570947,-0.6015992,-0.5498388,0.2691724,0.09041863,0.40469506,0.84102005,1.4123985,-0.6926627
0.9456047,-0.024990143,-0.14230426,0.9273346,0.19035086,-0.80845976,1.3092905,-0.7794285,-0.53774405,-0.70169693,0.378844,0.5393129,0.03161445,-1.3866712,-0.92806756,0.73385304,-0.49256453,0.30785564,0.0945626,0.55038565,0.17661516,0.1023576,0.68260455,-0.6431829,0.24709904,-0.38848898,1.4375223,-0.17326565
1.0352429,-0.090862796,-0.089232706,0.78352535,0.17373626,-0.84027344,1.4097408,-0.67850286,-0.5797196,-0.6678219,0.59603727,0.31680912,0.027939923,-1.2251889,-0.93458337,0.6712599,-0.43118557,0.22420375,0.16705555,0.40244114,0.07984428,0.13379683,0.57593495,-0.579017,0.32652506,-0.32890254,1.4603219,-0.26579833
1.163781,-0.1829428,-0.07343041,0.8304453,0.25333008,-0.9450409,1.4963623,-0.69802666,-0.42098838,-0.61744,0.57112646,0.3822516,0.10951009,-1.3672088,-0.8106016,0.7245133,-0.6979846,0.3039067,0.2136978,0.37338653,0.10140687,0.018622996,0.71712804,-0.53941643,0.22010411,-0.41114628,1.3649354,-0.34484333
0.86749774,0.54533756,0.021338567,0.46118596,-0.08772667,-0.96278375,1.6333318,-0.77315706,0.07686309,-0.54007155,0.59627914,0.8511432,0.72141445,-2.2788904,-0.39647248,0.6987448,-0.5838957,0.6027955,1.2104886,0.6185836,-0.5955719,0.40024096,0.96979576,-0.6926071,0.5037054,-0.699169,2.12657,-0.40188968
-0.036051545,0.31750953,-0.3985432,-0.078230485,0.9419701,-0.10016639,0.5572327,-1.3048857,0.2033006,-0.44754407,-0.8202639,-0.16377555,-0.6444751,-0.23218973,0.11245993,1.0919604,-0.3249754,0.32305822,0.6802777,0.58649373,-0.047542617,-0.9716318,-1.3446301,0.38334724,0.46559685,0.6393375,0.8372923,0.043855272
0.17050236,0.40822476,-0.49244025,-0.18516088,0.8773685,-0.45405972,0.52854216,-1.4405864,0.2294305,-0.6489561,-0.89974636,-0.26628247,-0.668959,-0.22683889,0.1606686,1.2713306,-0.29897967,0.4378606,0.70583457,0.7590377,-0.11320182,-0.93595743,-1.4712147,0.4850606,0.44651246,0.6573809,0.8599512,-0.019849194
-0.05087034,0.75357443,0.8952007,0.83650357,0.19352078,-1.1247381,0.52456707,-0.99731994,-0.72967523,0.14100103,-0.49397293,-0.3972552,0.42451668,-0.7904128,-0.68115604,0.10805213,0.062363602,1.1455184,-0.15990254,-1.2956676,-0.03940562,1.0220331,0.0397688,2.1467977,1.7940961,0.2949815,0.03909608,-0.10351231
-0.050991517,1.0727943,0.27926436,0.13717759,1.6373302,-0.45615637,-1.1606853,0.1285709,0.24022213,-1.1723073,-0.032057136,0.44038248,-0.34583184,-0.4863381,0.39807156,0.097860545,-0.057571962,0.6620257,-0.15168938,0.45196956,0.038592026,0.1363154,0.06402576,-0.74359167,0.8278357,0.3301103,0.67347306,-0.3849632
0.45562544,0.90299547,0.21364509,0.82895815,1.821978,0.20747857,-0.43241066,-0.80970395,-0.22229868,-0.46242404,0.1945889,0.22900183,-0.60986114,-0.19058162,-0.04245314,0.050506707,-0.05639816,0.8904329,0.33209443,0.25589174,-0.095672086,0.40751255,0.62835217,-0.7224848,1.1033393,-0.54897577,0.6324529,0.33049908
-0.17144728,-1.0033338,0.52126235,1.0230372,0.48660374,-0.24261121,0.71930695,-1.2000455,-1.3512335,-1.019757,-0.09232965,0.26774573,-1.0205418,-0.5281421,-0.6722446,1.4603685,0.18360797,0.5203882,-0.8376727,-0.25567478,0.22981429,0.35370615,0.4393901,0.9043638,0.8764535,-0.18399818,0.3810413,-0.34882596
-0.07346694,-0.8652504,0.20951259,1.049301,1.0447739,0.07715279,0.7881474,-1.0119121,-1.0000516,-0.8797323,-0.15890981,0.5781036,-0.3958399,-0.391387,-0.55370545,1.3608999,0.1641786,0.59684163,-0.9560864,-0.4429165,0.43157735,0.354579,0.33637986,1.021379,0.997353,-0.030941395,0.07894476,-0.28468767
0.9342054,0.4213395,0.49030727,0.57312185,-0.5752843,-1.0183617,-0.49694735,-1.2263459,-0.71209955,-1.1109114,0.5768391,0.2682983,-0.6915414,-0.32263848,-0.0080137495,-0.024910383,-0.15976746,1.0116801,-0.17635548,0.22501968,-0.21332921,-0.32285324,-0.3054871,-0.5592459,0.92166746,0.85295665,1.4764422,0.08164199
-0.22273074,-0.39927098,0.6880539,0.5216034,-0.53578055,-0.1670657,-0.40950665,-0.99869484,-0.32354978,-0.66631895,0.60962504,-0.18633704,-0.6146302,-0.31583643,-0.18214567,0.31190288,-0.23934971,0.56110656,-0.39553973,1.1568909,-0.19238962,0.043734215,0.5994436,-0.81904083,0.75396293,-0.2831111,1.2035635,0.59299153
-0.20559284,-0.15176032,-0.10735925,0.4059491,-0.48515674,-1.1001883,-0.23165445,-1.1646844,-0.82983065,-0.73225707,0.7414845,-0.78488636,-0.32461452,-0.28443274,-0.012560307,0.21777122,-0.83277065,0.2999159,-0.08290183,0.97405297,-0.35161853,0.10552371,1.2954438,-0.23966902,0.4072162,0.20315312,0.75626826,0.6036287
0.9447166,0.5000097,0.524278,0.40002865,-0.57678866,-0.929555,-0.44766575,-1.1235656,-0.8530603,-1.0577108,0.7016251,0.25975552,-0.60293657,-0.31835636,-0.02983322,-0.049232893,-0.14203066,1.0090033,-0.216844,0.21043128,-0.23580976,-0.29786184,-0.2450722,-0.46765608,0.955842,0.88915735,1.5078328,0.0300531
0.027591964,-0.07372342,0.24970905,0.5397553,-0.019428493,-0.48820648,0.36776567,-0.8063285,-0.18041721,-2.2486103,0.64878786,-1.2395959,0.01947312,0.4575228,0.62405634,0.46669844,0.3119538,0.50219023,-0.084029615,0.85785943,-0.40614924,0.098656654,-0.50378025,0.33499262,0.8531504,-0.11270686,-0.034328744,0.5733725
0.11985756,0.3952335,0.44276828,0.5601044,-0.16736495,-0.393701,0.4015257,-0.82490826,-0.19770297,-2.3450212,0.5136811,-1.3427961,0.06455813,0.55344146,0.56818753,0.2810214,0.5224486,0.70322937,0.05195963,0.8225107,-0.21134989,0.14271933,-0.16379812,0.27892944,0.81831837,-0.04211198,0.0070308847,0.7741072
0.20862925,0.39809093,0.21330188,0.674901,0.10056201,-0.6263986,-0.10810097,-0.94685864,-0.23051748,-1.1627741,0.6473002,0.037585367,0.16636877,-0.32904696,0.47832325,0.37603015,0.26351312,0.2966967,-0.4216959,0.08217217,-0.3003903,0.1380563,0.12294785,0.18293405,0.10981566,0.2533901,-0.10679367,0.2761658
0.16350071,0.51759917,0.26499352,0.74521375,-0.03008422,-0.5526147,0.016685685,-0.9029311,-0.04931164,-1.0714262,0.53169054,-0.014728036,0.09499812,-0.33934873,0.57949865,0.18654978,0.33650917,0.39121923,-0.3999776,0.036324084,0.037988003,0.15757774,0.39521846,0.13555066,0.21562482,0.15389232,0.028403709,0.34722382
-0.1632559,0.082235955,0.5220265,1.8577137,-0.54731137,-0.9131737,0.2613075,-0.6623179,-1.0102625,-1.9500979,0.6820161,-0.6281771,-0.75356346,0.28135422,0.8901361,0.108785436,-0.36227152,0.37883207,0.42842996,1.2960443,-0.7445981,-0.21217738,0.08490194,0.4694103,0.5230815,0.61049056,-0.4232219,0.5323691
-0.0014767307,0.47283056,0.6838867,1.8678077,-0.8311985,-0.9697867,0.08560752,-0.6610345,-1.0832942,-1.9871706,0.535958,-0.4644016,-0.5583073,0.29561886,0.83623564,-0.14759378,-0.026692843,0.5394928,0.5108773,1.3584048,-0.67494524,-0.28624716,0.65067387,0.36746076,0.43875012,0.4822021,-0.34273124,0.7231342
-0.04951406,0.08025523,-0.10092342,0.75872934,0.043175973,-0.32354334,-0.4394923,-0.8032985,-0.33405125,-0.98967654,0.19842504,0.046535447,-0.29870248,-0.048037592,0.4685755,0.40274274,0.16569704,0.17841941,0.066398524,0.12457914,-0.26834017,0.18816891,-0.038592003,-0.081455596,0.20792383,0.46378204,-0.16238363,0.16130431
-0.18078859,0.29650247,0.13360414,0.7869479,-0.09150664,-0.2578751,-0.49790335,-0.8702473,-0.3323485,-1.0370271,0.25288394,0.0024506797,-0.22668014,-0.044467673,0.4798005,0.3590288,0.38406602,0.27145788,0.06699209,0.110438414,-0.1751752,0.043783784,0.08963093,-0.0041334606,0.2451358,0.46162626,-0.13759546,0.3243787
-0.4626277,0.7157966,0.6529877,1.3718576,0.97886825,0.70652854,0.04634062,-0.07317304,0.70302546,-0.6454191,1.1536791,-0.008284412,0.8747393,-1.0377785,-0.95275956,1.0867084,-0.40428594,1.2701744,0.5593562,0.5581994,0.246032,-0.17442998,0.72155094,0.8750963,2.0597517,-0.73883736,1.3194219,0.5602991
-1.1178174,0.8027997,-0.009006238,1.3674581,0.8007631,0.7508999,0.0054000984,-0.19686216,0.41553175,-0.33514205,0.7759062,-0.1449442,0.69045746,-1.7330561,-0.8151823,1.199815,-0.2718481,1.5577143,0.12925264,0.45658535,0.3190317,-0.1702098,0.27545777,0.9443102,1.771097,-0.8640835,1.109502,0.25938994
-0.72771955,0.8502613,0.33370972,0.99444866,0.57923853,0.4923242,0.028175903,-0.25791764,0.23819758,-0.649487,1.1653612,-0.4209317,0.6777601,-1.3460068,-0.9420316,0.8611064,-0.62052375,1.4697775,-0.07250177,0.65390295,-0.005830142,-0.2071474,0.41212168,0.923518,1.6382965,-0.9060015,0.9860262,0.20832641
-0.62716484,0.64885235,0.62075,1.561245,0.8276363,0.44183415,0.031490803,-0.2927026,0.56673026,-0.39337695,1.3351755,0.044507258,0.88405544,-1.1594287,-0.64935654,0.96970576,-0.432765,0.9780215,0.43436146,0.56440324,0.14024387,-0.09961132,0.73866147,0.9154933,2.0915284,-0.8744909,1.4364777,0.5431292
-1.304199,0.20796451,0.105918735,0.9086795,0.44832754,0.59537935,0.3503622,-0.15137619,-0.4707612,-2.2066865,0.47714797,0.72443414,1.1439364,-0.6642161,-1.0722784,0.25690848,-0.55349565,0.69422954,-0.07227368,0.06542335,-0.04798676,-0.12731458,0.95002335,-0.2943101,0.88888055,-0.6932189,1.3357003,1.3397255
0.15545548,0.3759311,0.7078503,0.5204793,0.5739288,-0.11352909,0.60916233,-1.0608779,-0.50689155,-0.5834314,-0.48179778,0.050236076,0.08044566,0.15196857,0.23640634,0.124737725,-0.25950018,0.6629603,0.723344,0.17338362,-0.6688165,0.5487816,0.3343748,-0.6305503,0.11596182,0.13676846,0.48390073,0.6384816
0.0036352414,0.36066696,0.768038,0.588637,0.5907485,-0.25709528,0.71469414,-0.9609591,-0.23162454,-0.65899634,-0.4849792,0.089124225,0.109685756,0.28264344,0.2616409,-0.083656125,-0.2331248,0.63527614,0.70121175,0.07963724,-0.69366974,0.50569487,0.46638235,-0.8029509,0.045066092,0.34221533,0.36764234,0.57284194
