p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20
-0.036635242,0.5646744,1.0202556,0.55985695,0.0069455793,-0.7181342,-0.29132357,0.5046597,-0.89871836,-0.67518914,1.8321172,1.1396486,-0.08875865,-0.46593294,0.5409472,-1.3491526,0.35130563,-0.25917807,0.42425498,0.8017183,0.7982636
-0.09389923,0.16040221,1.0290174,0.4647591,-0.11110122,-0.61135757,-0.369047,0.7624891,-0.68896276,-0.8813103,1.9385585,0.9198962,-0.19684885,-0.2632882,0.4691194,-1.6302112,0.02832123,-0.3960708,0.30708697,0.49472302,0.8891048
-0.45737824,1.0201283,0.57601035,0.5392738,-0.0765128,-0.15318829,0.2636309,0.33591938,-0.264418,-0.17483845,0.8530978,0.31236655,-0.46518663,-0.05443871,0.6217116,-0.83250946,-0.6715967,-0.31130934,0.33189481,0.13014528,-0.21411583
-0.4942532,0.5717985,0.53724396,0.563848,-0.27129695,-0.28102136,0.2716614,0.40004185,-0.2372053,-0.45365575,0.80820566,0.2600994,-0.33921576,0.123043254,0.5535283,-1.097942,-0.6419046,-0.23136394,0.37871537,-0.1379172,-0.03288864
-0.5088753,1.1073806,0.4355465,0.8761246,-0.8764088,-1.0447022,0.19414292,0.40605858,-0.2999913,-1.3754419,1.5813195,0.5391266,0.408754,-0.63497543,0.5626543,-1.581345,-0.29689854,0.016130412,0.70619494,1.9856575,0.29685757
-0.56756806,0.80572337,0.3716275,0.91716623,-0.992182,-0.96426344,0.26509535,0.62259424,-0.07337643,-1.8092922,1.5607575,0.16229387,0.17020498,-0.51679564,0.44626242,-1.7776697,-0.6292444,0.03456197,0.61482173,1.7220789,0.31656402
-0.5855172,0.77307993,0.17935285,0.20700881,0.38632095,-0.15644433,0.5522842,0.27936623,-0.20330991,-0.26353598,0.9023248,-0.10022767,0.070230044,-0.14657159,0.42124277,-0.7697185,-0.27668813,-0.19953962,0.26127306,0.22464354,-0.35664377
-0.6248293,0.4383007,0.20627448,0.494775,0.22616729,-0.21528567,0.537211,0.3946363,-0.25036684,-0.3804776,0.94501597,-0.23857181,-0.03172837,0.0411303,0.53173554,-1.103308,-0.38993275,-0.24041429,0.21519871,0.10956658,-0.1972439
-0.28565335,-0.50958246,0.92819023,0.3151032,-0.9711831,-0.80561966,1.3956922,-0.617593,1.1329657,-0.025571005,1.1027071,2.968516,-0.29773694,-1.6946932,0.41400123,-1.399129,-0.311586,-0.18019159,-1.4748454,-1.1276913,0.36920407
-0.17254393,-1.27313,0.8790977,0.75365645,-0.3435683,-0.9427699,1.6331048,-0.9070728,1.2250204,-0.021044916,1.4150476,2.295782,0.14839639,-1.9018961,0.1918075,-0.91315573,-0.6246361,-0.0146579,-1.0436064,-1.5816798,-0.13511406
-0.086698174,-0.9354324,1.4112327,0.9342055,-0.3938219,-0.969238,1.0682416,-0.6802878,1.2622848,0.115516394,1.3966082,2.3175397,-0.3577582,-1.7507534,0.14230862,-0.7441071,-0.6534647,-0.29008493,-1.5615691,-0.9416683,0.09575359
-0.31520417,-0.5414188,1.1014942,0.5800365,-1.0919123,-0.9090855,1.4795933,-0.6230841,0.8479465,-0.019204052,1.1994416,2.6937952,-0.3930043,-1.6707468,0.64670694,-1.3939834,-0.16732769,-0.008416049,-1.4694608,-0.9889282,0.23804441
