p_0,p_1,p_2,p_3,p_4,p_5
-0.23035851,1.5232774,0.3963861,-0.8176778,1.284277,1.9271777
1.0116189,1.2209404,0.19641624,-1.7789096,2.245793,0.8425056
0.9730557,1.0191762,0.33093607,-1.0360632,1.9542315,1.3161163
-2.5039833,0.4686852,1.5832947,-1.3102577,-0.03008059,1.5056485
-2.7196815,0.56442755,1.7821584,-1.3160907,-0.061276738,1.5173903
-2.4337125,0.5978963,1.9191055,-1.3109869,0.11411589,1.3013054
-2.1549768,0.50471395,1.4783676,-1.1287584,0.08249933,1.5766674
-2.3162796,0.649063,1.7591255,-1.3391725,0.19472815,1.2725624
-0.22723301,2.1185627,0.8136798,-0.9391653,0.90069103,0.8463768
0.2841251,1.5584856,1.8803908,-2.4522243,-0.4483256,0.6241068
0.6439332,3.099462,1.0860971,-0.08221612,1.221082,0.6421277
0.363618,0.9080022,0.059754174,-0.5271532,2.073339,1.5914983
0.30429748,0.5273298,0.16734278,-0.76634014,1.8092701,1.3730801
0.13941264,1.3364993,0.55220443,0.55855185,2.7633488,1.9450675
0.8531603,0.7582753,0.72695285,0.04477569,2.4174645,2.4214091
0.76038325,0.622243,0.7116826,-0.15575434,2.4818861,2.3615732
0.97039574,0.7483721,0.6119369,0.17781958,2.3224382,2.2647848
0.8694691,0.60016984,0.6345153,0.07036575,2.3995059,2.2667515
0.95931387,0.7177081,0.6500378,0.17003714,2.4369106,2.3489664
0.32863313,1.2841089,0.48341298,0.115248606,2.875531,1.9205099
0.8587593,0.71643025,0.80282855,-0.14911413,2.3826563,2.3703303
1.6522124,1.0422977,0.72620726,0.272415,2.3888607,1.7722133
1.0692701,0.7352088,0.83047444,-0.13641621,2.4388263,2.2143164
0.7832053,0.49465203,0.7729748,-0.14079565,2.3317978,2.3369024
1.1541917,0.6142634,0.6869129,-0.31898507,2.4849005,1.9923023
0.42132035,1.0830501,0.5991117,0.1572014,2.8478816,1.854605
-0.12092464,0.54870546,0.19857572,-0.920152,1.7896668,1.7686106
0.0636459,1.1431391,-0.02294232,-0.68141246,2.3701062,1.6715283
-0.20722573,-0.6002729,1.5981296,1.0875769,1.8979964,-0.33094957
-1.1022384,-1.0976781,0.7157406,-0.85804564,2.7043607,1.182564
-0.18985318,-0.7000685,0.85081553,-0.8438525,2.9168868,0.94145
-0.8256793,-1.2032834,0.86163557,-0.84211755,2.8161297,0.85549235
-1.6384848,-0.2669942,0.58987504,0.5187856,2.5616934,0.2110397
-0.4876341,0.12744857,1.091693,0.4649579,2.910392,-0.23591234
-2.2232206,-0.26031017,1.0687853,0.37803876,3.8668647,0.10836045
0.23395216,-1.1434286,2.2072818,0.77321005,1.8008306,-0.6869363
-1.3221043,-1.1837668,1.6506771,0.3164735,2.0392277,0.007027641
-0.43999135,-0.96874803,2.0198817,0.48010257,1.8754556,-0.32299012
-0.75752956,-1.3909315,1.6603305,-0.14764,2.2305453,-0.50160915
-1.381064,-0.12256628,0.26789066,1.0307916,2.7310414,1.2165353
-0.36113232,0.13744351,1.0332776,0.27989492,3.016761,-0.07130252
-2.610502,0.21871752,0.67803556,-2.8899586,1.6355492,0.74319214
1.3979313,5.0767984,0.98018545,0.4714833,-0.11685472,0.051988512
1.5671418,4.1257024,0.36380315,-2.2926478,0.9165446,1.2523181
3.1658142,2.98529,2.3420787,0.5950766,0.89867353,-0.014085056
3.3935497,2.9604216,2.440006,0.59235656,1.0791831,0.12962486
2.9357426,1.4660795,1.3357517,-1.606141,2.7225585,-1.7628957
-1.3883532,0.16648844,1.1532699,-1.0214789,0.4728008,2.0958953
-0.053590883,0.16351372,0.5340142,-0.7650038,0.6735452,1.6057558
0.19995722,0.16502063,1.0554721,-1.2624913,1.0621312,-0.052800376
0.1515617,0.18631983,1.1023484,-1.2860242,1.1364626,-0.13192151
0.06406451,0.09102668,0.9351964,-1.370527,1.0885102,-0.17848271
2.5836778,1.0708079,1.575492,-0.2819989,3.860437,1.6836153
1.9254284,2.399661,0.46719575,-1.3434273,3.7013133,1.1473169
2.7987168,1.5977608,2.9057424,0.7239334,1.0446833,-0.1674319
-0.060676422,-0.76714134,2.8142467,0.9610725,-0.0064652204,0.102239825
0.13582174,-1.448319,2.9803643,-1.033383,0.68151176,1.1409506
-1.3453099,-0.41465816,1.7901708,-0.25279653,0.33955386,1.3543284
2.0556471,0.68664056,3.6400962,0.93447876,-0.663559,0.2572061
