p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14
0.074503325,0.8909193,0.5698075,-0.17852043,0.31135765,0.04074537,-0.09724299,-0.8795194,-0.25111693,0.41239965,0.8664547,0.6415011,-0.2559489,-0.49934983,-1.1854438
-0.45989665,0.24659906,0.7373299,-0.4235891,1.9909649,-0.6516867,-0.4582223,-0.94254714,-0.16451101,0.24494863,2.255446,0.27855358,0.577414,-0.45181358,0.5520941
1.6204951,0.98147184,2.2429078,-0.8612542,0.82187855,0.98373663,0.82240605,1.6310474,-0.6998834,-0.35063407,1.0901065,0.6131124,2.0961356,0.8153233,-0.52044326
1.2953393,1.7146745,2.8102074,-1.0278281,0.060246177,0.99516404,0.527865,1.544385,-0.4728459,0.1981348,0.9817571,0.90557075,0.6125339,0.84556,0.17068824
0.53949547,0.8598401,2.1418128,-0.364103,0.7158419,0.7166267,0.62538815,0.9801929,-0.752497,0.041856013,0.93043995,0.67237246,1.6140534,0.5309576,-1.130235
0.40005782,1.9719914,2.7878811,-0.73794013,-0.21798514,0.7532265,0.47260484,0.72999465,-0.4937298,0.49373186,0.9613598,0.9987995,-0.1579165,0.5958287,-0.18716842
1.0052438,1.8624481,1.1520193,0.9068571,-0.57581806,-0.07491848,0.057568964,0.15280344,1.0884502,0.11720685,1.0635391,-0.1126739,1.0696118,-0.29556146,-2.0026565
0.94148934,1.9927053,0.89094716,0.8677843,-0.44420955,-0.09320952,-0.12020312,0.010002071,1.0715895,0.19381005,0.99576056,-0.15977082,1.294551,-0.08986938,-1.7839991
0.9704079,1.8539361,0.9644589,0.7919991,-0.35705316,-0.16864032,0.15813299,0.016828746,0.62981373,0.13518879,1.1051997,-0.27895352,0.94519037,-0.10833715,-1.4870334
-0.76863456,0.53510594,-0.9938568,-2.3146238,0.2784124,1.6023201,0.70840865,-0.32753122,1.2628499,2.001223,1.84154,0.10951611,1.2126862,-1.1498462,-1.1875503
