p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18
1.0594302,-1.4490339,-0.46722928,1.315157,0.24503697,0.15382156,0.120850995,-0.8438071,-0.06266157,-0.10601833,0.60203534,-1.5527104,-0.20754655,0.818608,-0.0345753,0.59066755,0.19117747,-0.48827434,-0.20285973
1.4939808,-1.9433037,-0.6592968,1.0665025,0.08458528,0.15374872,-0.07841653,-0.7626959,0.30621928,0.43499506,0.84292454,-1.3263334,-0.09319299,0.7338459,-0.04471384,-0.2347363,0.36998075,-0.42912382,0.06311204
2.1535556,1.4512949,0.5161472,1.8840792,-0.30535924,1.6085181,-0.3137169,0.20388305,-0.20781477,1.2405452,0.5909101,-0.40054822,0.16503155,1.25316,-0.44362655,-0.066192,0.4479032,-1.411358,-0.03474995
2.0431545,-0.8925687,-1.8749759,0.715539,0.8674383,1.458693,0.0049277507,-0.8976098,-0.07269252,-0.6910816,1.5984944,0.032898914,1.2144089,2.581666,-2.200716,0.12471466,1.4381899,-0.86924124,-0.8587592
2.942848,-2.7030256,-2.471608,1.6707857,-0.3459218,-0.008125677,-1.1394159,-0.8472313,-0.048133906,0.09496402,2.1865015,-0.6100732,0.6265058,0.54807717,-3.6839194,-1.462554,1.0782647,0.70602655,-1.5142208
1.8343024,-1.7613308,-0.66248214,1.133258,-0.7324333,0.08985651,-0.6323367,0.15330234,-0.44280997,-1.4576005,-0.40379727,-0.5617295,0.57343096,0.34840256,-1.2419665,0.0338271,-0.1557985,-0.68057746,-0.332854
1.543613,-1.8385062,-0.71001273,1.0345408,-0.57923377,-0.1330587,-0.5998512,0.06694416,-0.3059718,-1.4914795,-0.20079146,-0.57942104,0.7747268,0.4150014,-1.128994,-0.28485408,-0.00988718,-0.62842214,-0.22453001
1.614427,-1.8275542,-0.79807794,1.0186092,-0.60784274,-0.14898078,-0.61338675,0.04852073,-0.30504912,-1.6026464,-0.19847661,-0.5285074,0.7085307,0.32213333,-1.2825135,-0.007211228,-0.12807758,-0.8797356,-0.26491278
1.7257957,-2.5597575,-0.7243957,1.0683382,-0.43076786,1.0928272,-0.37583277,0.39381608,-0.68551296,-2.2761781,-0.5563505,-0.011863646,0.9681923,0.836218,-1.5756688,0.11665014,-0.14581935,-1.0401524,-0.5984712
1.3330389,-1.0602894,-0.8050625,1.106206,-0.06885052,0.17423986,-1.1214957,-0.92913455,-0.97216976,-0.57649255,1.0298682,-0.057406906,0.26078054,0.50248986,-0.20889418,0.28631556,-0.37443286,0.76224136,-0.26055047
1.3230214,-1.3114507,-0.93708205,1.2584085,0.058164034,0.3993276,-1.2778265,-1.031268,-1.0069065,-0.70408255,1.2352227,-0.072545566,0.3943446,0.5158888,-0.5107935,0.5222898,-0.16545312,0.7717976,-0.24461742
0.1507545,-1.0919316,1.4664218,1.3501287,-1.2588094,0.059222613,-0.30088606,0.08627288,-0.9548148,-1.1889943,0.5405324,-2.650185,-0.0602083,-1.9405248,0.105578184,-0.013079973,-1.3401681,0.88331497,0.18277577
1.7337402,-0.2874369,0.9302018,0.038008884,1.119247,0.5616112,0.911098,0.8833672,-0.13294032,0.22668558,1.3152031,-0.25819975,-0.11039912,-0.5030067,-0.005717396,1.5841994,0.30556217,-0.5300365,-0.20157945
1.8339698,-0.8230901,1.1425072,-0.42852557,0.44141722,0.15070947,1.3852733,-0.19865301,-0.55966395,-0.09273909,1.488944,-0.5490924,-0.25461096,0.42904982,-0.42660743,0.96419585,-0.16557473,0.4295662,0.27492842
1.4329133,0.10581672,1.1963365,1.1542724,-0.6619185,-0.9688265,-1.4389226,0.35076725,-0.513339,-1.1375866,0.24150607,-1.7384007,0.13373458,0.8448776,-0.08195179,-0.352465,0.5905251,0.47230676,0.48422563
1.5796766,0.23282921,1.2276196,1.0883604,-0.66301984,-1.1141084,-1.1973752,0.23541868,-0.37145913,-1.0997111,0.27585864,-1.5583626,0.2042959,0.98520786,0.60438275,-0.00935271,0.061254337,0.7216579,0.048691757
