p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21
-0.47988826,0.67101735,1.2286601,1.1786001,0.055154074,0.2310098,1.1297317,0.11453797,-0.37776095,-1.0551658,0.2621902,-0.06522081,0.4637784,0.055197764,0.106622614,1.3112144,0.8590938,-0.22266527,-0.46044216,0.679609,0.1449263,0.26831502
-0.4143618,0.78151625,1.3119226,1.5881245,-0.03896741,0.36212108,1.4981012,0.08824426,-0.3909353,-1.0807011,0.3481576,-0.34524977,0.46767387,-0.102418266,0.17751622,1.4500364,0.78007716,-0.2249167,-0.5858347,0.60421574,0.15832645,0.42421153
-0.6874652,1.2155126,-0.18750316,0.043831695,-0.05775676,-0.2567125,1.1334794,0.9063771,-0.8356841,0.6203103,0.020620227,0.61125296,0.94245654,-1.0534456,1.1902392,1.8874028,0.76156634,2.4836032,-0.64861214,0.82715213,-0.15987967,0.56333256
0.41193825,0.2901874,0.23738858,0.111482844,0.21897097,0.80270624,0.03188455,0.27258804,-1.2763948,0.85022956,-1.9202448,-0.17869285,0.4447842,0.645633,0.9430747,1.0147675,-0.7701425,0.20671278,-0.40501022,0.17278503,0.6365981,-0.8823288
-0.27827737,0.1804543,-0.01980805,-0.28413725,0.52277833,0.25427502,0.089959875,0.125241,-1.7120758,-0.6583057,-1.0712491,-0.12855883,0.7721632,0.16283636,0.9976336,0.6587303,-0.46027383,0.10971396,-0.155798,-0.8207148,1.1449275,-1.4512901
-0.9909581,-0.1826079,1.2226667,1.4238807,0.2901052,-0.15490666,-0.23789541,0.83008826,-0.54315543,-1.0502534,1.0453268,0.33384585,1.3349962,0.080374,0.22668661,1.263628,0.27660227,0.23353523,-0.81407714,0.7174042,1.3036088,-0.035638496
-0.6629734,0.021903826,1.2139639,0.8081383,0.23042686,-0.22690265,-0.3823703,0.97026557,-0.6315165,-0.97929335,0.6915276,0.9286401,1.2902164,-0.052643184,0.52270687,1.1313524,0.34084716,0.71232575,-1.0432415,1.0979797,0.92141324,-0.46151298
0.100125335,0.23382328,0.085698746,1.1004891,-0.7890644,-0.13650964,1.5150063,1.1514074,-0.7662355,-0.02837217,0.024278782,-1.30196,0.15948476,-0.62618107,-0.32883283,1.4813797,-0.92956233,0.25425667,-0.28327972,-0.17011178,1.2266699,-0.25168875
-0.20281237,-0.31091553,-0.71615535,0.61416227,-0.28174955,0.13947785,0.75781965,1.6280127,-0.61414415,0.54342157,1.0813289,-0.11086803,0.6836199,-0.07930015,-0.40479124,0.08539337,-0.2565553,-0.659638,-0.36711594,0.03063638,1.259199,-0.36279213
-0.5812259,-0.33711523,-0.33623198,0.25124153,-0.40970254,-0.007218378,1.1088743,1.2435261,-0.97749585,0.15232316,1.1113459,-0.52037555,0.48452747,-0.17288955,0.3460264,0.18359803,-0.308604,-1.2682247,-0.30695832,0.6892956,1.4550881,-0.12249518
0.02375607,0.28747913,0.04276475,1.1439575,-0.80370885,-0.15822998,1.4584414,1.2552186,-0.68261623,0.0020978511,-0.0069050803,-1.2250552,0.07402296,-0.6586452,-0.18287353,1.4122269,-0.87876993,0.21029545,-0.107249476,-0.20183718,1.3011864,-0.22503039
-0.34299064,-0.2715341,0.9536007,0.72841203,0.27910554,-0.7439696,1.2758871,1.2515881,-0.31290087,-0.7018577,-0.18808156,0.41630992,1.5224866,-0.28519872,0.08722641,0.8385412,-0.4950568,0.41227844,0.05541246,0.3124572,0.8250458,1.106565
-0.50544286,-0.47562093,0.7314951,0.6904562,0.32736793,-0.9396745,1.3435438,1.3049643,-0.6120591,-0.9725656,-0.27292404,0.5001417,1.3735315,-0.4799088,0.032314092,1.0125214,-0.3007662,0.3196784,0.19972068,0.2598427,1.0047097,1.0411435
0.60742676,-0.2663266,0.5685832,0.2186971,0.043746226,-0.38301325,0.5069304,0.9110958,-0.92256194,-0.61209446,-0.43212235,-0.03657612,1.0003306,-0.04709212,-0.4370891,0.5248227,-0.21869034,0.21473962,0.11653722,-0.013541159,0.45027375,0.362728
0.37802652,-0.47803587,0.47295886,0.08925368,0.11989642,-0.33457384,0.52339274,0.7757978,-1.054941,-0.76897097,-0.16426714,0.1104181,0.77135426,-0.021887623,-0.30926102,0.57260644,-0.2034095,0.32072523,0.021177752,-0.12990767,0.56956744,0.3202673
-0.838538,-0.32001698,0.62572473,1.0206233,0.32817695,-0.5872033,1.4542637,0.7059829,-0.04810772,-1.6517996,1.2321032,-0.17299631,1.2499506,-0.22878528,-0.42268234,0.6687366,-0.330901,0.0048084045,0.6649839,0.37041935,1.5568651,0.16653606
-0.76503944,-0.75709707,0.40599838,0.9540766,0.17749083,-0.80602264,1.4407787,0.77552295,-0.29565737,-1.8108512,1.1888312,-0.4936114,1.0872346,-0.25182065,-0.37187618,0.69722,-0.29072663,-0.12800328,0.8634489,0.31414425,1.8985775,-0.08170482
0.38550013,0.01690475,0.29318815,0.27530313,0.1527121,-0.07693837,0.41620234,0.69979084,-0.6201489,-0.6575673,-0.15651463,0.031844005,1.0378609,0.26786777,-0.5128804,0.3960636,-0.14422008,-0.053975746,0.022715406,0.0038928837,0.25414187,-0.15231463
0.36360493,-0.09283213,0.26681033,0.28714588,0.23651671,-0.2750758,0.4037816,0.84029657,-0.7998512,-0.7394258,-0.054512717,0.008789793,0.7569077,0.29744634,-0.53752023,0.4434677,-0.13678089,0.049364213,0.09128306,-0.0063267914,0.4524016,-0.2142771
-0.6253257,-0.44796106,-0.15644592,0.5306053,0.10900566,2.3189416,0.46883726,1.1026752,-2.0827067,-0.64859486,-0.005108883,0.92420447,0.3162876,0.6084396,1.7956493,0.81816065,1.0932986,1.0895416,0.5253821,0.46212748,1.5968455,0.35584372
-0.8417794,0.35820374,0.18569344,0.7040129,-0.41236117,2.444325,0.33070904,1.005621,-2.3731997,-0.3869415,0.19113284,0.9373466,0.16722335,0.99666387,1.6615887,0.3401441,0.2034189,1.631025,0.41380963,0.36594844,1.3409958,0.22023024
-0.919257,-0.17054044,0.083045535,0.73872846,-0.24801171,1.9955318,0.6365999,1.2084807,-2.1767123,-0.016726408,-0.3111452,0.9141214,0.11514745,0.36126658,1.7451794,0.18007499,0.40666646,1.1617512,0.2634835,0.60848767,1.5624167,0.5882418
-0.6324833,-0.36421072,0.01356278,0.36703202,0.13511866,2.3709779,0.28440183,1.2341031,-2.1978455,-0.42666137,0.18857093,0.9698285,0.30553284,0.42956537,1.6529338,0.66557807,0.81500024,0.80035853,0.29342705,0.43832946,1.7662293,0.5432299
-0.56886417,-0.9875501,-1.4437368,1.0355111,-0.96905446,1.0063708,-0.93835485,1.101342,-1.1914936,-1.3544705,0.0957326,0.7772372,0.7576782,0.061938446,1.5403076,0.6196095,0.7497483,0.82983303,0.4666612,0.5331787,2.096021,-0.10302
0.28189868,-0.1692348,-0.5097584,-0.05578467,0.5363782,-0.4788584,0.40468326,0.056741334,-0.6246825,-0.8856478,0.46800414,-0.12734966,1.0515145,-0.57253295,0.31450847,1.0016102,0.15964548,0.3131914,-0.31137753,-0.31324717,0.97428393,-1.1804788
0.17909384,-0.11588899,-0.53048074,-0.060230926,0.6143235,-0.41003186,0.3756364,-0.007397917,-0.55513805,-0.84813416,0.35030493,0.020154025,1.0718521,-0.25094655,0.32955566,1.0462571,0.34290916,0.4054123,-0.14325348,-0.534964,1.1672597,-1.4797729
0.11348017,-0.49203962,-0.66895175,-0.024414042,0.48561904,-0.62285274,0.47780144,-0.002369027,-0.98517305,-0.6858389,0.67422277,-0.13080983,1.1455144,-0.5227031,0.7851906,1.2175777,-0.13090433,0.09821672,0.0012483515,-0.33095852,1.1177818,-1.0001743
0.19928083,-0.14722827,-0.52929455,0.0069352593,0.5752476,-0.37182173,0.31596467,-0.053655986,-0.6725289,-1.0023358,0.3705125,-0.21017854,0.95047086,-0.4337579,0.27392757,0.91600674,0.3015283,0.4408254,-0.31090346,-0.27324462,1.1337872,-1.270666
-0.42839602,0.038300347,-1.5310142,-0.056471135,0.32443103,-0.48171797,0.74223995,0.23734567,-1.184124,-0.24786994,1.194047,-0.15733092,1.0895623,-1.0537078,0.7638919,1.234357,-0.104695074,1.6389958,-0.6115254,-0.005304127,0.57571137,-1.4562213
0.66988397,0.23842958,-0.122112066,0.072832584,-0.04060654,0.14576139,0.3693695,0.60965204,-0.44215894,0.0068401624,0.12665096,0.44224715,0.8322427,0.022017352,0.17163883,1.1015394,0.11258141,0.042609412,0.053616192,0.11868843,-0.066146865,-0.1880699
-1.0072808,-0.4174806,0.25076824,1.0601945,0.17408748,-0.6940616,0.61770207,1.7074548,-0.37727118,0.09928003,-0.18152352,0.09631908,1.1563034,0.41990066,0.5838724,1.3347344,-0.9979244,0.67517173,-0.054287322,0.57852864,1.6243675,0.3956129
-0.5681669,-0.47436482,-0.18917398,0.16755733,-0.332335,0.028407373,1.1114638,1.2297485,-1.0450982,0.07192793,1.260588,-0.47073895,0.36475155,0.015551402,0.37835878,0.18315531,-0.42264023,-1.0739836,-0.4915578,0.67257816,1.4840478,-0.11565549
-0.7349638,-0.84690183,-0.43522343,0.374118,-0.3121277,0.29074168,0.4093245,1.681797,-1.3168409,0.13585202,0.5905614,0.43466622,0.17191331,0.18028422,0.30356807,0.6637805,0.6091621,-0.97429323,-0.56242716,0.7458234,1.4544408,0.13033146
1.0735397,-0.9372569,0.8901398,1.0843766,-1.1135043,0.3509952,0.30507463,0.07237901,-0.44723636,-1.0073001,-0.11413114,-0.1686063,0.7848228,-0.95927006,-0.35205877,0.34809616,-0.81235015,0.40075445,0.24280462,0.38495234,0.4074598,-0.08674903
-0.69563425,0.26140383,-0.29338452,2.3532922,-0.67232764,0.08598238,-0.22632588,0.4895097,-0.08163223,0.057938732,0.36169636,0.10852918,1.0092136,0.12104149,-0.40493095,1.6962161,-0.4228273,0.4474851,0.40210843,-0.48736674,0.01767291,-0.70768553
0.3472852,0.27253643,-0.11725318,-0.36995685,0.22008188,0.20523688,1.1594481,1.0097306,-1.2208076,-0.84849805,0.7396109,0.046419147,0.40874732,-1.1611053,-0.17394257,0.95409495,-0.33820167,-0.32553664,0.36850604,0.22883588,-0.3739638,-1.4978546
1.132763,-1.219335,-0.50221765,0.94023025,0.04812351,-0.30298725,0.13222642,1.5631934,-0.88383716,0.24989536,0.7597139,0.848861,1.0581017,-0.69959253,0.59567857,0.81485623,-1.292739,-0.8180779,1.0151461,-1.3934038,-1.376505,0.50656414
