p_0,p_1,p_2,p_3
0.8904354,-0.7000672,2.4386868,-0.8176636
0.69488865,-0.6475316,2.6082993,-0.90725696
-0.05445546,-1.8086429,2.2865493,-0.14334711
0.9547521,-2.754879,3.9485235,-1.0110861
-1.5854385,-1.511581,2.7221816,-1.1059667
2.038919,-0.64380276,2.1577904,0.45070228
1.6848973,-0.28532118,1.9988642,0.43307027
2.4248228,-0.22039883,2.7521446,1.4742965
2.3337643,0.04299993,2.7709491,1.5150156
2.283884,0.044146076,2.5918806,1.4655772
2.149835,0.0853271,2.4515934,1.4794018
2.2550027,0.032643564,2.573433,1.2105434
2.2497437,0.085453294,2.5787392,1.4259937
2.4719603,-0.39762124,2.7473772,1.3577143
2.2308927,-0.1960339,2.4372141,1.7768986
1.9682353,0.22813483,3.1998599,1.7732166
2.3197634,0.09226454,2.6847072,1.5901477
2.28363,-0.11397003,2.5467536,1.5942707
2.3488243,-0.015053154,2.4726913,1.5276699
2.3704932,-0.25279513,2.6878357,1.4807351
1.7134037,0.6417903,2.7464328,0.6574001
2.0729423,0.29408854,3.0034356,0.5896314
-1.1237458,2.1743982,1.701435,2.3141015
-0.748162,2.2647305,1.8977966,1.1937923
-0.61293983,2.151467,1.8819336,1.5231888
-0.77321446,2.140402,1.7670664,1.3497268
-1.2526847,1.6145257,1.2388749,2.153021
-1.1843975,2.0522397,1.8635219,2.2451448
-1.4959952,2.2605863,1.959598,2.4738967
-1.1460414,2.0340247,1.6594378,2.8056483
-1.2711943,2.00876,1.8055699,1.7343602
-1.1619306,1.7660475,1.7280731,2.3804622
-0.99290764,1.9883072,1.7170091,1.6059507
-1.4262207,1.9378988,1.2026256,2.3591344
-1.2142599,2.2798188,1.986679,2.0385196
0.06607842,0.4939026,3.072244,-1.7613492
0.599648,-1.7281169,2.5732806,-2.4876359
1.1327814,-2.3622,2.9299617,-1.8111668
-1.7466257,-2.3061235,1.5378056,0.68152684
-1.8295685,-2.300636,1.4165045,0.9015813
0.042880304,-1.2302216,1.1220214,-0.18434033
0.43245512,-0.5076304,2.0740967,-0.7957178
0.31288496,-0.6711841,1.6228577,-0.4262365
0.36373654,-1.1915833,1.8164672,-0.3658402
0.48266366,-0.98239714,1.9408159,-0.4515055
0.5281961,-0.8916914,1.7692994,-0.5004156
0.40210393,1.6066726,3.1441216,0.0133747365
-0.9162681,2.6137536,3.3950202,-0.60435826
-3.145081,-0.3581707,2.1226099,-0.33057866
-0.4024614,1.0432776,0.91158205,2.1113932
0.5868665,1.1755607,1.790074,2.334038
-0.12826507,0.19517328,0.9981308,2.076186
0.051637154,0.030126218,1.0397508,3.6089947
0.8740681,0.012548391,1.3293794,3.9670906
0.2957876,0.41084626,1.6225375,2.2109869
0.09604073,1.5844985,1.649781,2.3555846
0.073103994,-0.016748909,1.1443237,2.6452324
-0.7139367,1.0921224,0.77004063,2.2778158
0.2187884,0.18244435,1.0557523,3.5400016
-0.95309556,1.6165199,2.162141,-0.89020884
0.343065,1.8224299,2.6552122,0.2402187
0.52010477,1.6963686,2.2742467,0.69123983
-4.154758,0.67663527,2.115067,-0.19862689
-0.7163183,-0.44669464,1.3846879,-0.37341756
1.0185204,-1.080816,3.0076494,-1.0318105
1.7037743,0.7996536,1.5187542,0.33086643
2.9398232,-1.1346346,3.3286984,1.3152808
0.8994367,0.411515,3.290392,-1.5739269
2.0734081,-0.9408319,3.995578,-0.6029831
2.4193702,-1.1001095,4.8305235,-0.894953
2.2816725,-0.95320946,4.3644905,-0.77939594
0.8089021,0.27181175,1.9876838,0.17714913
-2.68762,0.89850146,2.895433,-0.5033322
1.1602731,-0.6774373,2.0432866,-0.0036826276
1.3210346,-0.68565863,2.188777,0.042155214
1.3305163,-0.65740967,2.0927405,-0.090038486
0.36166877,-1.5454571,2.4298084,-1.0236188
0.15822393,-1.312127,2.3868165,-1.136751
0.029121697,-1.6360329,2.7043614,-1.4443704
-0.22152254,-1.4562621,2.7283618,-1.3725057
-1.9782897,-1.5411234,2.3545024,-1.3451874
-1.4035583,-0.19806568,1.0317081,0.0008216042
0.09986138,-1.0665845,1.3297235,-0.075629205
-1.527809,-1.3988926,1.6574826,-0.5716563
-0.974092,-0.79630315,1.7409517,-0.52034646
1.631375,-1.0855787,2.3149962,0.8066712
1.5328853,0.43561128,1.6922456,1.4639062
1.0218436,0.44722977,1.4002291,1.4410915
1.1355963,0.7362339,1.7093506,1.0238398
0.96110606,0.99860036,1.5897963,1.1551808
1.4830191,0.9147893,2.2136247,1.8510464
1.8569925,0.68326634,2.1187582,1.643563
1.8297752,0.8096209,2.1254723,1.5576384
1.7383735,0.64833444,1.9444104,1.6464583
1.6093187,0.6113412,2.092432,1.2357154
1.8159348,0.83049124,2.1253266,1.5748205
