p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15
0.13419889,0.44562256,-0.19042906,0.3867394,0.500348,-0.4799625,1.5234189,-0.5691339,-1.1932595,1.1732218,-0.09406271,-0.49550548,1.054324,-0.53854173,-0.59453654,0.041731566
0.12720715,0.42392138,-0.370895,0.5223304,0.5094896,-0.73833513,1.5301554,-0.8655746,-1.2642633,1.147886,-0.24574754,-0.36265957,0.9746432,-0.5289391,-0.66573757,0.039014317
0.24466561,0.41718274,0.1459462,0.95385844,0.7189742,-0.108739115,1.700692,-0.9803387,-1.1884336,1.2893305,-0.2628721,-0.7921521,0.5323393,-0.6952301,-0.22160202,0.015350026
-0.03589549,0.46074644,-0.18893448,0.2843956,0.50295323,-0.5794308,1.5431252,-0.6774155,-1.2081633,1.2940522,-0.09775679,-0.40084884,1.0013419,-0.48369738,-0.62726766,0.15478764
0.8916873,2.375244,0.18140016,0.45359692,0.3667488,-0.04871441,2.2272494,-0.7741515,-0.97568935,0.7128787,-0.9259276,-0.82009053,0.8359077,0.06580847,-1.0243158,-0.0012090955
0.22037123,-0.7765232,0.08729114,0.36236346,1.1471316,-0.31731093,1.0213597,-0.19348185,0.13842015,-0.15700665,-0.4243667,-0.767792,0.31352964,-0.14760834,-0.018910902,-0.29074594
0.50010955,-0.52730304,0.11419233,2.4816322,0.5758558,-0.106219165,1.5533359,0.30260885,-1.3651521,1.1737925,-0.44163445,0.46870622,-0.6595867,-0.26597008,0.11136634,-0.36200052
-0.10031802,0.77231145,0.016531168,0.5605656,-0.10095274,-0.464244,2.365187,0.06385348,0.36906102,0.39430556,0.616372,0.32099605,-0.8450307,-0.75776255,-0.15868089,0.006712197
1.2841066,-0.30200297,0.353157,1.3665581,0.08812178,-0.6457876,1.8479527,0.43454808,0.06932717,0.87201166,0.22107983,-0.39535376,-0.73435366,-0.9582088,0.95081776,-0.1471177
-0.5306277,0.9859388,1.1113814,1.4334034,0.19537893,1.0039505,0.8170711,0.28234476,0.9680591,-0.6948178,-0.23675162,-1.2721224,-0.5508216,-0.4201498,-0.11610678,0.61915565
0.011247566,-0.41345432,0.73934674,-0.21722373,1.991608,-0.4017524,2.1249135,0.022819621,0.5947953,-0.19418375,2.0364714,-1.212263,-0.3973342,0.542728,0.65689445,-0.27641046
0.1381574,0.2451466,0.9051429,0.5077056,1.1700838,-0.6836872,1.3829131,-0.24062915,-1.0190562,-1.2772535,-1.2172151,-0.06092458,0.48712415,-1.4992378,-0.016287595,-0.2585827
0.09472804,-0.11502467,1.1288581,1.054016,1.7770557,1.5847996,1.3928622,-1.696997,-0.1355857,0.49858773,0.2678868,-1.040225,1.2836115,-1.325538,0.6267194,-0.49984762
0.7939923,1.1832447,0.7655079,0.75607497,1.2530856,1.652625,1.4507529,-0.7585202,0.19797307,-0.07935623,-0.33387163,-1.2873058,1.1343226,-0.7382102,0.105246395,-0.5495689
1.0612224,0.42400336,0.34565216,1.3518202,0.13242672,-1.3664967,1.7485294,-0.61470085,-1.0590167,1.6645403,-1.0886047,-0.8846702,0.676935,0.24046056,-2.1150565,-0.57107973
1.3905057,-1.4440442,0.26249364,0.5704846,1.5613936,-0.14470077,1.7131107,-0.17099705,-0.7665523,-0.19517761,0.5088467,0.8255524,1.0580285,0.04494789,-0.80189955,2.2485492
-0.2850778,-0.8960995,-0.68875,1.2019448,0.6273562,-0.13296571,1.2136092,1.1857343,-0.5117153,-0.002024672,0.01771745,-0.05866524,-0.50071615,0.28549972,-0.68795186,0.43336117
-0.6894991,-1.0558087,-0.8391706,1.1406742,0.76445746,0.017909123,1.3870603,1.5109202,-0.26676255,0.25250453,0.19380103,0.23659548,-0.6032497,-0.16743803,-0.23964305,0.38721022
-1.6663268,-1.9622252,0.928438,0.09528433,0.6952014,1.2037141,2.332417,0.3523411,-0.74778104,-0.44423738,-0.7428426,0.27968988,1.4042673,0.6117425,-1.4170172,-0.35929212
1.4481267,-0.26513746,1.2796453,1.3348546,1.753349,-0.10107688,1.248073,-0.75894654,-0.796308,0.39565665,0.007461039,0.43981194,-0.37134036,0.5799807,-1.096015,1.2682436
0.9695161,-0.5426825,1.1188345,1.368171,1.8832008,-0.5535356,2.1396205,-0.77369803,0.44234204,-0.14953227,-0.83997333,-1.4617374,-0.3452362,1.6230026,0.23678829,0.59519
-0.4400864,-0.7251974,1.3441168,0.49324805,0.50691783,0.40627283,0.9136281,1.1221893,-1.2451258,-0.2715116,-0.8624818,0.088845335,1.135479,-0.03712001,-0.5448207,-0.34258515
0.17211366,-0.06355579,0.64698493,0.7901539,0.48129895,-0.29247037,1.0646842,-0.92495906,0.1236213,-1.0423355,0.41774446,-1.9431891,-0.41367552,0.22460201,-0.24302098,0.75034475
0.04991092,-1.3770825,-0.7591982,1.1257489,0.32161984,-0.0093750395,1.6353719,0.9175304,-1.0502359,-0.5045404,0.43296483,-0.2562489,-1.3592038,0.09327438,-0.87650794,1.05321
-1.3860064,1.7600738,0.14168647,0.63692814,0.7349275,-1.1466831,2.0284104,0.7692021,-0.026333963,0.3238539,-1.573456,-0.56659216,-1.0259554,1.3397175,-1.6129291,0.5479944
-0.25232816,-0.8974121,-0.18962553,1.1826663,1.1987832,1.0720701,1.443218,-0.667824,-1.4554367,-1.7265328,0.0069434033,-0.4489387,-0.72677773,0.76659775,-1.0520458,0.95633054
1.1403649,-0.40765053,0.20960622,1.2626574,0.6573736,0.49206063,1.4365585,-0.23510051,0.9357087,0.87692064,0.18174654,-0.4684687,0.3983978,0.3411835,1.352459,-0.76085997
-0.9578673,0.019371647,0.40329456,1.6726066,1.4414518,0.6682415,0.0644372,1.6008058,-0.7044974,-0.9336894,1.8929656,-1.327074,-0.6328743,-0.84838843,-0.49835148,0.2610193
-0.5910138,0.21660784,0.6407122,1.7301077,1.3178828,0.86556274,0.6895291,1.071347,-0.8687569,-1.386467,1.470781,-0.092508785,-0.28263903,-0.35102072,-1.1668097,0.03643101
-0.31423098,0.33901373,0.46872172,1.8249581,1.5422207,0.9495631,0.51303303,1.0350659,-0.63890046,-1.4003755,1.4657868,-0.093129255,-0.41340715,-0.4805431,-1.0449284,0.08699526
-0.5105904,-0.8786429,1.3385053,1.3910142,1.1526167,-0.0021044465,1.2049433,0.1617952,0.79075575,-0.9370274,1.6331915,-0.02234359,0.24120924,0.027641617,-1.0158174,-0.6828529
0.76291823,-2.2489545,2.0348523,1.7248472,0.9412884,0.8776067,1.1195419,0.15510206,0.50960165,-0.42802283,-1.1883366,-0.35892472,-0.3904292,1.1432054,-1.0497829,0.353865
-0.54630005,0.103087954,-0.11436059,1.1292173,1.2096823,0.66356784,1.9305305,-0.2554096,2.310679,-0.69698465,1.4061414,-0.7574901,0.88459814,-1.4768249,-0.9592434,1.715449
-0.26146662,-0.23756887,-0.7469094,0.86401117,1.4914451,1.2642415,1.9756647,-0.10595494,2.2519941,-0.89128584,0.8632677,-0.8714262,0.755441,-1.6523502,-0.8177875,1.1770873
0.38123658,-0.96598965,-0.47916347,-0.035075072,0.37217233,0.32314295,1.9262929,-0.14097422,-0.78604233,-0.03848218,0.9303155,-0.37718377,0.79725367,-0.7937623,-0.7068546,-0.2405702
0.40471497,-0.93863636,-0.39076036,-0.061984718,0.3354297,0.3608926,1.9050967,-0.2442283,-0.78083247,0.02202586,0.90665317,-0.32361397,0.899669,-0.83453673,-0.62791896,-0.14568603
-0.042829096,1.1845831,2.099974,1.6084782,0.14122924,0.64201856,1.4980481,0.08260475,-0.309602,-0.7837317,-0.7992965,-0.63952976,0.31913212,-0.25289428,0.018468764,2.0606515
-0.0072680083,-0.12007351,0.6393984,0.0032238667,0.42842105,0.052724015,0.58929235,-0.026016012,-0.23010702,0.49771214,-0.006500409,-0.10992688,0.035943385,0.24342,-0.29976988,-0.27600342
-0.6705485,0.3922906,0.3236835,-0.888172,0.48424038,0.97043854,1.695876,0.3928734,-1.1111599,-1.3271325,-1.0473818,-0.7204895,-1.3164805,-0.42468253,-1.0838425,0.32672566
-0.48145986,0.69943166,0.7497869,-0.6842371,-0.54448396,1.9068518,2.961138,0.80215836,-1.5330955,-1.3057495,-0.87914664,1.1428556,-1.5951849,0.1028176,-2.2731302,1.1374878
-0.6140871,0.14744315,-0.41536817,0.16424021,-0.1676843,1.328863,2.5532703,0.9559793,-1.6297871,-0.5919756,-0.9228781,-0.2740933,-1.721327,0.5230767,-1.8141723,0.1044054
-0.42281517,-0.029234318,0.06499531,-0.14059404,0.5668441,0.59237736,1.8513671,0.611328,-1.1063566,-0.7701285,-1.263499,-0.79375434,-1.0789211,-0.36821052,-1.0992208,0.3919816
-0.09314649,-0.37131643,-0.1446447,-0.9455424,1.2408854,-0.82144636,1.5948827,-0.92133826,-0.47804642,0.42436135,0.5380966,-1.460231,0.08975852,-0.52466667,-0.64123493,0.5735516
-0.37476167,-0.28993943,0.029465945,0.40949446,-0.7963505,0.5994693,2.2567995,-0.359385,-0.14112872,1.4331985,0.35774207,-0.84918815,0.1396811,-0.48892167,0.41519418,1.5164385
-0.26231468,-0.036719803,-0.45106542,0.38364956,-0.62427396,-0.043813396,1.7654115,-0.2652682,-0.31047845,1.42095,0.50601876,-0.962178,0.45202258,-0.69200814,-0.07587313,1.1409888
-0.18440896,-0.33135554,-0.4140444,0.22466958,-0.74221325,-0.006317011,1.9996778,-0.41119173,-0.0484597,1.2206819,0.19379634,-0.92400557,0.2875158,-0.72998893,0.08371061,1.1583792
-0.17969604,-0.20863524,-0.3665488,0.22311111,-0.39560038,-0.014645226,1.628945,-0.26543978,-0.07542268,1.2309892,0.31971672,-0.75864977,0.2854478,-0.7587971,-0.14438145,1.3603855
-0.26156902,-0.53518367,-0.03316569,0.666007,-0.5375441,0.48506263,1.635784,-0.15779594,-0.08301406,0.571541,-0.11661194,-0.1621791,0.5553051,-0.29293728,-0.5103531,0.9054957
-0.02501857,-0.6877566,-0.28427514,0.43285075,-0.33729976,0.14315438,0.98893976,-0.103607774,-0.042841926,0.460403,-0.09188112,-0.046678595,0.65221876,-0.5091438,-0.9806572,0.8122602
0.1412099,-0.6467754,-0.2804515,0.3783389,-0.1510096,0.16180217,0.823958,-0.23976682,0.104748376,0.45205507,-0.071764976,-0.10304898,0.68063307,-0.79842716,-1.0837574,1.0300081
-0.31882438,-0.11486467,-0.13239904,0.385508,-0.045234088,0.0032533887,1.1291792,-0.0858483,-0.32885146,0.4927235,0.17636225,-0.3796536,0.610098,-0.16821834,-0.41738075,0.90056455
0.102721445,-0.15151462,-0.23706314,0.4228011,0.21113023,-0.25966182,0.98771966,0.15000045,-0.37903404,0.5964949,0.4736211,-0.45141932,0.8349376,-0.37678424,-0.85465187,0.6989216
0.072439715,-0.42611137,-0.21418759,0.29356363,0.19293049,-0.13880166,0.87231016,0.024848962,-0.38570395,0.3783905,0.20413768,-0.2905183,0.8062448,-0.45228302,-0.80132115,0.77828044
0.13202518,-0.3115992,-0.15754072,0.28113356,0.2989533,-0.019439088,0.7948884,0.14800926,-0.31601316,0.3924096,0.36309224,-0.35058329,0.7618298,-0.44383466,-0.8555847,0.9177287
0.91488975,0.41289154,0.011552872,-0.42831567,0.44303468,-0.7264477,1.6141248,-0.21881461,-1.4769471,0.6110185,-0.47944063,-1.2901136,0.009202467,-0.2823022,-1.4351319,-0.050964244
0.68681264,-1.4235965,0.050189413,0.94655424,0.950279,0.7982875,1.572008,0.7834316,-0.019638468,-0.182514,-0.53307074,-0.8848695,0.83273304,-0.04996811,-0.055114083,-0.38955158
-0.1877803,0.5181391,0.714226,0.0029313315,1.1915829,-0.15845877,1.2464936,0.39351064,0.12852888,-0.07689949,0.50987524,-0.6302288,0.48324397,-0.11331544,0.46810228,-0.086090066
0.29400086,-0.49526897,0.092497915,-0.5533609,1.0707748,0.22991934,1.2503737,-0.07360415,-0.3267058,-0.9544731,-1.0801843,-1.6752354,-0.5253918,0.34536478,-0.43559593,0.5849182
0.7692361,-1.1253456,-0.09903471,0.6616933,1.3358436,0.6540591,1.2426561,0.374745,0.06573228,-0.35548347,-0.39394262,-1.0748022,0.23722427,-0.22130342,0.32526806,-0.15391247
0.41282868,-0.32009897,-0.36736566,-0.80556333,1.5253148,-1.2586012,2.11682,-0.7835101,-0.15285747,0.0065083387,-0.40927395,-0.39143795,0.6232776,-0.34307024,-0.3651665,1.3392153
0.014939632,-0.62653875,-0.116760716,0.7774591,0.32694045,0.4014857,0.49972862,1.1920748,0.76643574,-0.3214822,0.69648147,-0.7737203,0.8023433,-1.300491,-1.9532682,1.967932
0.84280324,-0.08530031,1.4506334,0.7795121,-0.014933601,0.259444,0.5742501,-0.06792035,-1.4514713,-0.42027667,-0.21625149,-0.044635672,0.583124,-1.3055565,-2.230081,-0.03929177
-0.4595412,-0.7893159,1.2244692,0.44514295,1.9950731,-1.0268946,2.1445227,-0.53743976,0.5755768,-1.0865159,-1.1885215,1.2311006,-0.61843055,-0.040756427,-1.6302658,0.4919694
0.9856797,0.18430047,0.5377982,2.043431,1.6894534,0.09297812,0.9591248,0.9578691,-1.3275514,-0.21276814,-0.90374124,-0.17158958,1.1261322,-0.10949833,-0.36038977,0.079552
0.22677551,-0.11433514,0.62745506,1.5571319,1.44664,0.6886251,0.92017704,1.3585674,-0.62522614,0.44238976,-0.454428,-0.09213818,0.6697031,-0.3327902,-0.24017346,-0.14815615
0.18878862,0.84047174,0.79441756,0.63296807,-0.10947153,-0.8053374,1.9717082,-0.2090253,0.19890551,0.13742012,-0.31316316,-0.4720105,-1.2584528,-1.6469393,0.5786052,-1.2655643
0.0917407,0.18037845,1.6753616,0.9224093,0.90189976,-0.7459856,1.0159581,0.18859668,0.15286322,-0.5986055,-0.91915184,-0.35579142,-0.25831023,-0.7930144,0.015334224,-0.7227193
-0.10265252,1.5747114,1.52376,0.58787537,1.2465706,-0.56784004,1.963068,0.49793467,-0.5095475,-0.28490898,0.55935645,0.53455895,-0.16792396,-0.86425275,-0.16972397,-0.96362627
0.012233444,1.0913122,1.2760031,0.2208497,1.3996232,-0.25597814,1.3842946,0.577026,-0.708012,-0.39193356,0.27218905,0.00019003425,0.09011412,-0.9973615,-0.49909982,-0.7943971
-0.2422292,1.5435032,0.90794134,0.18192221,1.3783909,-0.4343968,1.9982541,0.7372992,-1.15909,0.15778352,0.9772358,0.4152971,-0.2926155,-1.0448906,0.011033188,-0.5684979
-0.00133771,1.4806689,0.85194117,1.7709366,0.9101616,-1.1270362,2.4173946,0.32075012,-0.41827276,-0.81451756,-0.6697969,0.6319936,-0.5671606,-1.6011047,0.51192534,-1.0519737
