p_0,p_1,p_2,p_3,p_4,p_5,p_6
0.58165663,0.02567231,-1.0152258,-0.16451243,0.560001,-1.4703565,2.255196
-0.2236984,4.7439795,-1.0725263,-0.45652363,-0.46468693,-1.8050371,3.3683066
1.6838347,-0.48502538,-0.47546312,-0.6748634,-0.4105821,-4.540301,2.9320228
0.8335811,0.38830283,-1.3565226,-0.35469863,-0.040135276,-1.7473199,1.8454456
3.089748,0.5864271,-1.490779,-1.6485324,-0.3014293,-4.7173815,2.8169894
-0.8878451,2.3861067,-2.5912495,1.7636925,-0.33526656,0.64338845,0.95114243
-1.0417467,2.6233215,-2.4003286,1.8522383,-0.72436935,0.43508956,0.9056963
-1.5829865,1.299973,-2.9026306,2.027478,1.2267296,0.48129377,0.55348647
-1.6567496,1.6279353,-2.6191356,1.9417844,0.8225769,0.33274028,0.49381778
-0.80762076,2.5250933,-2.5340273,1.9978869,-0.109969944,0.7574929,1.5761985
-0.92680544,2.9274313,-2.373192,1.9836016,-0.541555,0.4646825,1.5230931
-1.1449693,0.08021071,-1.1500242,2.703403,-0.30654198,-0.049675122,-0.21484837
-0.7552814,0.098727174,-0.9504802,2.2039926,-0.4162915,0.025904853,0.17308289
-0.77321464,0.23435953,-1.033148,2.2516656,-0.30253452,-0.26414657,-0.18312733
-1.2436717,-0.32472178,-1.259387,2.6373506,0.39408866,-0.09343898,-0.086413294
-1.0988648,-0.5554016,-1.040174,2.4381695,0.5707982,-0.22533579,0.19679134
-0.97237796,-0.37405008,-0.97731143,2.3388717,0.50792783,-0.23203865,0.16507675
-1.3605996,0.64917517,-1.0261892,2.9966824,-0.06980457,0.1860214,0.33620507
-1.0274708,0.8605908,-1.0518258,2.755744,-0.3696615,0.18310589,0.1709608
-0.8293667,0.77522695,-0.86561,2.57593,-0.09083351,0.06580835,0.34178
-0.8640556,0.838071,-0.8768432,2.4107268,-0.15153751,-0.021867355,0.30598438
-0.11773836,-0.5336376,-0.9487481,0.039595306,0.6418401,-3.6666682,0.7208678
-1.1345751,0.77767676,0.1743983,1.2360303,1.7380528,-2.2138593,0.6567868
1.050184,1.5196595,-4.203565,1.4063154,1.9860493,0.35312733,0.94822145
1.447318,0.32452497,-3.1882148,1.0348064,1.8027307,-0.30826476,0.2329434
1.0420973,2.2490213,-2.7230694,1.0709156,0.7117715,-0.34354115,0.30319893
-0.16164137,0.44636217,-3.7045236,1.3524914,0.7385894,-0.00048719012,-0.51357627
-0.92782986,-0.5887882,-3.8609207,1.8290629,2.2648163,-0.53964585,-0.7644287
-0.43919283,1.1731013,-3.6359098,1.372087,1.0327203,0.03513875,-0.0035128172
-0.20739353,3.941008,0.20439053,2.9995804,-1.8870859,-1.3889624,-0.44008484
3.6068473,-2.2337162,-3.0219738,0.56095266,3.6653404,0.8553432,1.7495649
-0.62955004,0.0735898,-0.16179995,2.600405,1.2018964,-0.062028248,0.36690482
-1.257711,0.0057510072,-1.2081141,2.9532695,2.3005555,0.2645325,0.4937174
-0.9017374,-0.09692264,-0.22772308,1.4091079,0.8866937,-1.2696109,0.19237828
0.51793057,1.3752351,-1.3832071,0.71577954,0.22777148,-0.89954346,-0.41866592
-1.7811294,-0.19971375,-1.2639325,2.1083794,-0.2219206,0.31485495,0.191631
-2.000383,-0.75469935,-1.6141282,2.3615375,0.8011155,0.04325278,0.19204435
-1.8112504,-0.33759955,-1.0695677,2.9147556,1.0056233,0.5930141,1.6130232
0.12694433,-0.07987876,-0.61798495,-0.1963359,0.28561527,-0.6744715,0.9308776
0.313119,-0.12085683,-0.628663,-0.16345853,0.4807396,-0.99808407,1.063786
0.65036565,0.045544304,-2.6225755,0.88029236,-1.041359,-1.2030721,-0.84136033
0.7686848,0.21257815,-2.2469141,1.0793263,-1.2734014,-1.2697041,-0.92120355
0.5875366,0.027931102,-2.4725113,1.1430138,-1.2883296,-1.0466123,-0.9201215
0.7335308,0.14820272,-2.2263935,1.1667892,-1.3498915,-1.3637367,-1.037095
0.45056742,0.021479495,-2.3018103,1.1306858,-1.1479414,-1.3345761,-0.79642504
1.0005338,0.17170426,-2.15484,1.162827,-1.2631788,-1.2890372,-0.9933618
0.8038005,0.13277052,-1.8294183,1.3589904,-2.2881536,-2.0250978,-1.2849804
