p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
-1.4866897,0.15144233,1.6611369,1.3169571,1.5595074,-0.09782261,-1.30953,-0.967362,1.5663153
-0.8573289,1.0864742,1.4139109,-3.3753154,0.3325481,0.5896765,-1.1314684,-0.19015564,-1.6032267
-1.1861432,-1.271905,1.9515346,-0.43190563,1.0681437,0.24597862,-0.2717901,3.3221164,0.15829454
-1.2535491,1.1722629,0.69505304,0.6285156,0.12359518,1.7875757,-0.05329225,0.4585522,-0.71256554
-0.8628952,0.9895852,0.78960985,1.0144173,0.14869373,1.8597039,-0.18633842,0.68948996,-0.72213954
-2.2796834,1.9021345,0.84778523,-1.932539,0.6386409,1.7401757,0.6374936,0.5515961,0.04601159
-1.5029607,-1.6640642,0.5358627,-0.13153234,1.793134,2.6410587,0.4005403,0.34380978,-0.3765612
-1.0167155,-1.730051,1.407053,0.7626472,2.0907514,2.6423447,0.30282164,0.99031293,1.3173016
-0.4795037,0.99563795,1.0979525,-0.70216674,1.3906614,-0.21933693,0.13016878,1.087217,1.1383245
0.7495734,0.5001784,1.014889,-0.30774465,1.9833949,0.63570684,-0.55401546,1.1047298,0.6358837
-1.2249107,1.1517664,0.85327756,0.14164305,0.122432984,2.2096608,-1.0677454,1.1604002,-0.35854918
0.011526914,1.3385267,1.6640471,-0.6297359,0.6736126,0.7146908,1.5392624,2.4651551,-3.0198152
-0.81943655,0.554202,1.4582411,-0.32145983,0.93310636,1.426318,-2.6022453,1.5506053,1.048647
-1.8400991,1.0635413,0.96248114,0.6803939,-0.65991634,0.7475728,1.3741649,-1.6296272,0.38379356
-1.8373275,0.99614507,0.52648,3.2059736,1.4931588,0.935149,-1.7804952,1.9656875,-0.6481568
-1.4340249,0.19229242,0.94066715,1.8758843,1.3098313,1.5133321,-1.3640499,1.3021121,0.3176562
-1.3222014,0.042340033,0.929307,1.9182614,1.2922721,1.3692362,-1.710443,1.3250382,0.16577116
-0.8367736,0.7225726,1.8361746,1.1689783,-0.56727254,2.125003,0.8343616,1.5227189,-1.0315197
-0.4193347,1.8373834,2.6774268,-0.9999809,1.9521083,-0.120590456,-0.7700607,0.46046847,2.8711603
