p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16
-0.34308124,-1.3335639,-0.56434965,0.25641328,0.39030913,0.8478357,-0.9792003,0.37734643,-0.56451577,-0.7700031,1.8318101,-0.5173406,-1.6219926,0.95341414,0.87365013,-1.3002946,0.74721926
-0.49932823,-2.4743004,-0.6366978,0.36615038,-0.08434233,0.87644285,-1.9209481,0.3282144,-0.87066245,-0.7594166,1.549498,-0.7717697,-2.0916007,1.4738249,0.4914599,-1.6889228,1.1478746
-0.07787628,0.07134157,0.49173924,0.33902302,1.9643921,0.53841114,-0.4342121,-0.39117992,0.46010733,-1.5524186,0.2186669,-0.44900134,-0.78745687,0.95618916,-0.60239863,-1.6513017,1.0251561
-0.029541716,0.09237344,0.3436922,0.41403684,2.1760356,0.79467493,-0.6518043,-0.6940166,0.27477053,-1.314227,0.13036019,-0.7760951,-0.9616253,0.77235967,-0.7468863,-1.7115747,1.1729058
1.3958037,-0.5271909,-0.883586,-0.003404778,1.66691,0.4643648,1.3319782,-0.107660316,1.3389668,0.770304,0.51060545,0.1026895,-3.4479318,0.80796635,-2.1035244,-1.5504692,1.1255211
0.8660437,0.21596807,0.46683252,0.17269774,-0.9979284,1.6057922,-0.6033096,-0.7253971,1.0025064,-0.18615109,-0.997788,-0.55829895,-0.56471026,1.1198759,-0.19490477,-0.019625949,0.83673155
0.5451282,0.32151267,0.9368468,0.7364661,-0.19611724,1.0762701,0.09771419,-0.8908264,-0.32370856,0.89160997,-1.4506673,-0.21520627,-1.1688442,1.9112505,0.31836626,-0.30141637,0.62655026
0.52974993,-0.1715001,0.9406381,1.819884,0.9254446,0.8786642,1.6972585,-0.4581422,-0.05792669,-0.8010224,1.0372841,0.81477046,-1.095961,-0.59231883,0.65138525,-1.4372822,0.23635954
0.32933062,-0.61524445,0.8036603,1.2376035,0.7702563,0.87718993,2.0074346,-0.5527036,0.09053113,-0.7867992,0.44569555,1.1781337,-1.2433957,-0.1267268,0.5499027,-1.4119171,0.19878656
0.79632765,0.48346257,0.3136606,2.2783175,0.49616036,0.890785,-0.92216456,0.27824745,0.11477381,-0.4233808,0.4756504,-1.6485052,-0.0029414117,-0.38380757,-0.25852752,-0.13455035,1.8778342
0.48948407,0.3024885,1.1491964,1.3393613,-0.6107614,0.17806594,0.377581,0.09469866,-1.0225463,0.1140799,0.78343296,-1.000034,-1.274792,-0.5351065,0.7994928,0.5911205,0.42928308
0.36882034,0.5630508,1.0366858,1.8004819,0.18044165,0.56420493,-0.2826141,-0.17666888,-1.1570816,-0.38885286,0.7916299,-0.9337391,-0.77800685,-0.5688193,0.31115183,0.7291036,0.91288817
0.6868715,0.53887236,0.32342103,2.2228942,0.33036035,0.7961765,-0.9038959,0.33719233,0.122986004,-0.44002724,0.38175723,-1.7932621,-0.058036257,-0.37322286,-0.2723451,-0.20843284,1.7804145
0.95717645,0.7786312,-0.30049747,1.3603501,-0.43888873,0.50117546,0.0014983851,-0.8430887,-1.2787646,0.36097503,0.91849995,-0.7418979,-0.4340927,-0.2118294,0.87420416,-1.6130844,0.92995447
0.97694916,0.997679,-0.45599592,1.7018235,-0.06685292,0.23925248,-0.097020306,-0.8154042,-1.2123897,0.68772954,0.92809516,-0.62386775,-0.9414661,0.16019812,0.57355195,-1.6727592,0.9766735
1.3070911,0.089445636,0.2914005,1.4261016,-0.25744835,0.35876065,-0.037555408,-0.2955071,-0.98049176,0.08458991,-0.029525882,-0.61325353,0.3653832,-0.09875819,0.46894163,-1.068664,0.9675579
1.1877556,0.0714337,0.08016812,1.5419911,-0.11903271,0.14308532,0.07772451,-0.35474288,-0.9813892,0.21966997,0.31060332,-0.2636416,0.039407566,0.09222861,0.34371644,-0.9475583,1.054223
0.5065763,0.864841,-0.27840507,2.9290607,-0.45091146,0.2077622,-0.27292138,-1.2995249,-1.2272613,-0.15552996,0.8668934,-0.24926975,-0.12789014,-0.8186673,1.8254071,-1.0085912,0.7985199
0.513931,0.875231,-0.35025206,3.4667737,-0.21486309,0.032637887,-0.33258224,-1.0209198,-1.2221582,0.23947568,0.9061183,-0.11169034,-0.5244906,-0.7040714,1.6238258,-0.9463274,0.5807043
0.58320224,-0.12226882,0.5842063,1.1998141,-0.19128862,0.26818064,0.5365427,-0.4596459,-0.5678351,-0.4763015,-0.29274595,-0.23799531,0.1852438,0.005128135,0.3631579,-0.627041,0.95598584
0.77475554,0.008360409,0.46948484,1.4099947,-0.08615787,-0.05663968,0.5616039,-0.4823678,-0.40979433,-0.34799346,-0.012764137,-0.19465484,-0.039366864,0.011838291,0.28773442,-0.69730735,0.9377359
-0.17913929,-0.42057356,0.99465126,0.5958977,0.3417163,0.6766844,-0.4023635,-0.5720297,0.3690065,0.11336387,1.0513086,-0.7089966,-4.266027,2.1325023,-0.27679557,0.011286308,-0.4607268
0.35987255,-1.085151,1.0965185,-0.05829909,-0.07868353,0.356805,0.19924624,-0.8140116,-0.15367225,-0.43862206,1.0042202,-0.6999338,-4.2405295,1.9789307,-0.5133716,-0.36690158,-0.08852646
0.113245055,-0.66555643,1.0778507,-0.042345688,-0.12793918,0.6376382,0.2570259,-0.8823133,-0.23906738,0.15286545,0.9757832,-1.2380537,-4.0672255,1.6577876,-0.7400121,-0.2146444,-0.35631016
-0.221718,-0.3747941,1.036636,0.47712937,0.044027284,0.55140936,-0.17596358,-0.43589085,0.1374577,0.012360704,1.3643488,-0.90882254,-4.3049603,1.9648384,-0.19798529,0.04993295,-0.28384894
-0.026551198,0.498015,-0.045928825,1.5693786,-0.38652313,-0.3796001,0.6784364,0.75823414,-0.41324687,-0.24927495,0.66474825,0.10719733,-3.8629699,1.1945469,1.6263396,-0.22488633,-0.78520584
1.2028073,-0.10368655,0.091957375,0.40536273,-0.47709256,1.1484494,0.1357661,-0.28359488,-0.8503742,0.09959946,-0.7607093,-0.31891805,-0.49362904,0.9730012,0.91316813,0.6855427,1.0831422
1.1746081,-0.060631055,-0.17408583,0.4418733,-0.8271905,1.1077127,0.047950763,-0.39273512,-0.9412606,0.064367004,-0.6280995,-0.19125904,-0.48807526,1.119792,0.97690964,0.78597856,1.0693486
1.4402726,0.041813802,-0.03436395,0.3337596,-0.6988611,1.676302,-0.06259073,-0.07435739,-0.5982422,-0.12586962,-0.7244829,-0.7959425,-0.5588138,0.72164416,1.1093221,0.3218666,1.4442639
1.1170292,-0.09629646,-0.01672302,0.45702055,-0.6516046,0.9186622,0.011115389,-0.1949157,-0.8996658,-0.10282788,-0.8218145,-0.21741748,-0.44264618,0.9243091,1.0266466,0.8066508,1.1287876
2.0701988,-0.33058533,0.44277483,-0.31719527,0.35785484,0.79851824,0.6750523,0.41661075,-0.43749133,0.5219837,0.22003806,-0.51114756,-1.8162842,0.40226218,0.5504012,1.4473131,2.2584567
0.61231965,-0.22633551,-0.18747897,1.0312793,0.61427355,0.21038139,0.11172924,0.010185137,0.81326586,0.20446898,-0.17485899,-0.35372463,-0.55053765,0.5535665,0.4827991,-0.50509614,0.57287616
2.1335595,0.97080547,0.2211544,0.75329566,-0.47767195,0.61479306,0.2097401,-0.6703337,-0.7691255,0.87503487,1.4021059,-0.9892127,-1.3710312,0.16486669,0.4763684,-1.0120513,0.55250555
0.37998867,0.42487714,0.94770503,1.858624,0.055340238,0.557235,-0.29022545,-0.12627302,-0.9698738,-0.45080367,0.9993137,-0.72254354,-0.8075457,-0.50753725,0.1644898,0.7635076,1.0292598
0.76540107,1.0454917,1.0922216,1.3119183,0.31437406,0.05664578,0.07578372,0.37834474,-0.67095757,0.39202255,1.5065297,-0.67504877,-2.0709286,0.3187022,0.32154152,0.072045654,0.27517918
0.4186756,-1.0293574,0.9130691,0.77475935,0.7549228,0.34875125,0.17910317,1.1836933,-1.6197672,0.68051666,0.7456446,-0.62533444,-0.49782303,-0.111815445,0.65566254,-0.038599484,0.4827814
0.6293596,0.515258,0.42823413,1.4159162,0.27940202,0.33110183,1.0528362,0.96414745,0.8499794,-0.5745133,0.3510705,-1.2331128,-0.8294713,-0.03605124,-0.20222116,-1.9865776,0.23992738
0.23155308,-0.40076578,0.9484745,1.1310806,0.34876427,-0.4366991,0.93002266,-1.091456,0.3322905,-0.8502556,0.1685859,-0.61563873,-0.42998916,0.3126079,1.3287987,0.3307015,1.8284742
0.7367874,-0.47029856,0.15898664,0.74560004,-0.6013967,0.7093702,-0.083427265,-0.33784094,1.7866317,0.54035455,-1.9721935,-1.839054,-0.94366705,-0.48893645,1.7211326,-0.79520077,1.0575931
1.0430756,-0.88703436,0.37277886,0.110198244,-0.047137212,0.015695067,0.6891242,0.54748064,0.9953045,1.0872467,-0.9226574,-0.89951205,-1.7133335,-0.47152686,0.7071174,-0.05008257,2.3822927
0.59216243,1.2094163,-0.4359895,1.0846865,-0.3929141,1.8726032,0.07304941,0.71811277,-0.30907205,0.4687168,-1.0146735,0.45681837,-1.76534,1.8256658,1.4547064,0.30823335,0.7514599
0.5285524,-2.0178237,0.4888471,1.1740364,-0.5911674,0.43838423,-0.687216,-1.2235186,-0.5696251,0.5564883,0.1925881,0.88882273,1.3368645,0.7075057,0.7913633,-0.7287261,2.434998
0.58888185,0.06487913,0.5049949,0.07556469,0.33256605,1.1904879,0.5668209,0.1286098,0.09098792,0.16097148,0.10354969,-0.87053037,-0.08310242,0.6243167,0.7200178,-1.760993,0.12172001
0.8557697,0.017107546,1.0314867,0.09501487,0.5024038,0.9241404,0.22462748,-0.115832955,-0.21336372,-0.11476544,0.36287326,-1.310271,-0.20000055,0.18629125,0.53852534,-1.8961381,-0.097826645
-0.5178644,-0.34736595,-1.0001057,2.279274,0.51329947,0.35112098,0.85441947,0.84639966,0.23685497,1.0960997,-1.5738707,-0.6459859,-0.7481714,0.96273226,1.0069218,-0.28623006,1.9138227
0.587666,-0.56522053,-0.5754116,2.0063343,-0.43941283,1.0891591,1.5552477,0.7969218,-0.10060995,0.1342638,-0.061340116,-0.06185281,0.40509093,-0.4099389,1.5062501,-0.4007198,1.0634242
1.2701162,-0.9006528,0.7903696,1.359413,0.7825253,1.0940167,2.4654105,-0.4870715,1.355345,-0.10229573,-0.40033728,-0.66944796,0.51394916,0.19671509,1.0548134,-1.2984409,0.33907112
0.44010806,-0.23350921,-0.16264921,1.3720874,0.4727285,0.24657266,1.3526403,0.28912696,0.42604774,0.8929832,0.48836857,0.651537,-0.5240642,0.93843776,0.59305173,-0.768509,0.80856484
0.19168466,0.4933174,0.6109681,-0.021787813,1.0661807,1.3836088,1.2097443,0.025441846,-0.049556866,-0.58939034,0.52013266,0.1068199,-0.39638788,0.07912251,0.5646445,-1.572405,0.5741545
0.25384852,0.13630731,0.7194138,0.7918733,1.2988497,1.6037085,0.39294797,0.3457621,0.31077978,0.3814434,0.23302065,-0.4006899,-0.34021097,0.08463897,-0.055115547,-2.1880183,0.20857623
0.4772612,0.48932987,0.70449543,1.1595677,1.1217512,1.1219741,-0.27790228,1.3775892,-2.0276146,-0.4087385,-0.3023866,-0.23871155,0.12139967,0.4491399,2.1602926,0.12262197,0.8883608
-0.34535554,-0.10528702,-0.31699044,1.2262233,1.4338322,1.381122,0.041490704,0.42379636,-0.16772251,1.0747783,-1.2052507,-0.068694025,-0.05514138,-0.30352682,0.18106207,-1.9637101,1.7210703
0.5716007,0.5541911,-0.2581702,0.68305486,-0.6443417,-0.4013829,0.9312727,0.58321124,-0.41319832,0.26291493,-0.6574462,-0.5916978,-1.3947053,0.89317966,-0.09816669,-0.8160741,0.63677704
-0.31458342,-1.0163522,0.4898465,0.31595486,-0.46739832,0.06301713,-0.44779706,0.07491564,0.47127062,0.22862317,2.275296,-0.8725226,-0.31167886,-0.050309878,1.971195,-2.1718473,-0.22739995
0.13779919,-0.18873096,0.64192986,0.96267986,-0.26410747,-0.38742685,-0.0460815,0.425602,0.5996648,0.94194776,1.8131866,-0.48766702,-0.4137823,-0.22584015,1.8758979,-1.5824941,0.6699334
0.07154414,-0.34830633,0.48294565,0.74893063,-0.35496774,-0.4759574,-0.22739513,0.5813302,0.50961953,0.9215692,1.7367761,-0.5667462,-0.4212937,-0.14843732,1.907436,-1.6505369,0.7173826
0.5517985,0.8670558,0.6699272,0.9488,0.7340432,0.24971803,0.2369688,0.42144814,-0.75463206,-1.4950821,1.8602076,-0.8289503,-0.10288926,0.12436854,0.8630404,-1.7280155,0.8839404
-0.053391606,-1.2684798,-0.15503766,1.5399497,0.5382471,0.1262323,2.2653477,-0.9097798,-1.1737523,0.72059244,-0.01406563,-0.8977266,0.48319873,-0.38794726,1.6102978,-0.66493446,1.6000736
1.2889601,-1.6996266,-0.82284003,0.5197462,1.3738724,-0.12012677,-0.29076195,0.4343847,-1.762166,-0.77546436,0.60516524,-1.6769776,-0.92380875,0.82111764,0.3058057,-1.048954,1.8017619
0.8153015,-1.3528023,-0.43085948,0.18098056,1.6072793,-0.3064398,-0.50879717,0.20538482,-1.4911098,-0.14007726,0.7025084,-1.8943467,-1.0709816,1.0732445,0.97594434,-1.2802523,1.8328624
0.22256893,-0.51450807,-0.15199982,0.15411845,0.8441357,0.8458446,0.3214767,-0.8631052,-0.52632266,-0.7330581,-0.37509015,-0.3118931,-0.39726067,0.93759686,-0.12030323,-1.3154801,1.303371
0.24907927,-0.5121665,-0.15601747,0.14794593,0.7316227,0.9245766,0.34802884,-0.85096747,-0.5754876,-0.6259583,-0.5324648,-0.3636706,-0.35246262,1.0293405,-0.119831964,-1.3277223,1.24185
0.2861419,-1.3240551,2.237552,0.48795116,0.3198289,1.4589951,1.2409191,1.3535435,-1.080874,1.5204147,0.04343377,0.19907069,0.019614102,0.5951201,0.8913322,-0.51586306,0.91190153
-0.10601018,-0.08745181,0.24402581,0.3259377,0.4036125,0.17407237,0.61183864,0.018926976,0.080850236,0.44550437,0.41440532,-0.29395956,-0.34669656,0.31539795,0.18246627,-0.10286247,0.10700254
-0.82084924,0.39642456,1.288773,-0.18437454,0.47031975,1.794283,0.44032863,-0.033526137,-0.32520548,-0.44277447,0.11979081,0.25679526,-0.6528727,-0.62346315,-0.8427663,-1.1375728,2.3095956
-0.87231994,0.30051953,1.4285812,1.5642885,-0.0101164915,2.9609168,0.42475757,0.44238457,-0.9714918,0.1823424,0.5884195,0.62195796,0.62812865,-0.36872238,-0.6523431,-0.6162481,2.5304985
0.34693468,0.7062473,0.7512479,1.419749,0.32567784,3.3623178,-0.16234559,-0.12901685,-0.4535943,0.17051065,0.7767244,0.38609025,0.26191205,-0.34225982,-0.44407463,-0.9240783,1.6651982
-0.06977152,0.1374861,1.0724827,0.34710324,0.11778291,2.1180747,0.42829683,-0.39543164,-0.5877133,0.042245474,0.30521733,-0.19500081,-0.34328854,0.11490258,-0.17188999,-1.1503687,1.4918809
0.66638505,-0.28720763,1.020389,0.88567,0.019935263,0.49142134,-0.0022488479,-0.3615923,1.0849315,-1.040922,1.3542684,0.10916346,-0.12711914,0.81742734,1.3667794,0.2905195,0.46526268
0.9837917,-1.0068833,0.716431,1.1257406,0.49362022,0.6466397,0.44963384,-0.63420606,-1.203188,0.8718015,-0.47246367,-0.26209912,-0.35216546,-1.1360027,1.6275169,0.6978619,0.34253374
0.8851083,-0.7745163,0.56584084,0.8382101,0.27778086,0.6187444,0.4065373,-0.5684432,-1.2442946,0.7895949,-0.6610012,0.114848204,-0.32518435,-0.52964556,1.5428919,0.9599102,0.32318082
0.65343404,-0.8957087,0.72887933,0.9212356,0.09341268,0.60640377,0.36855367,-0.66728544,-1.1956266,0.8986578,-0.5917562,0.11609395,-0.3630359,-0.70257354,1.6396496,0.83109343,0.28170693
0.79540575,-1.0139043,0.56798995,1.0670847,0.22094375,0.58685964,0.26707885,-0.55125344,-1.1473567,0.7154763,-0.5430313,0.094679564,-0.11840462,-0.6244927,1.3127767,0.73671454,0.3845632
