p_0,p_1,p_2,p_3,p_4
-0.44009802,2.5895255,-0.022084547,-1.6783048,-0.56118965
-0.5378806,2.5926363,0.13733444,-1.4042636,-0.8186253
-0.45618233,2.587403,0.14051604,-1.2438997,-0.6743937
0.18671246,3.205391,-0.22602929,-2.0935078,0.27262163
0.28379276,3.0103095,-0.18328995,-1.7258528,0.70956594
0.2997991,3.1502562,-0.2598244,-1.5848737,0.526678
0.53883934,1.8967078,0.013446299,-1.183441,-0.038720842
0.39399505,1.9761648,0.08277436,-1.3983872,-0.06708401
0.3909804,1.8759681,0.06715224,-1.2146983,-0.18674557
0.57051235,1.9338293,0.1529051,-1.2566644,-0.18127088
2.097581,-0.14349481,1.3177367,-1.5284201,0.06747716
1.2720714,-0.62715596,2.8182235,-1.3903815,1.4585243
0.91684896,1.0566314,0.6668916,0.2880804,-1.4854686
2.5487936,0.84253556,0.6928576,-1.0156609,-0.63121486
1.4377723,-0.49230373,2.3347936,-0.91491866,1.0216972
2.19475,1.0411307,1.0281005,-0.7760145,1.3660295
2.4350474,-0.629712,1.4332433,-0.34430334,-1.3204008
-0.14880595,-0.08031471,1.7676896,-2.4618082,1.407904
1.4376569,1.8576039,0.5694062,-1.5832494,1.0346553
0.8575522,-1.0383172,1.8980464,-3.3618145,-0.76318973
1.2244174,-1.247608,2.4666417,-3.1375225,-1.4169992
-1.5915468,1.8255811,1.3777,-0.54880315,0.2627993
-0.5306225,1.5808705,1.068917,-1.4584045,0.90661925
-0.8882964,0.83893627,2.963437,-0.24786602,1.7230024
-0.4429294,0.30488616,3.228279,0.18467835,1.7395345
0.034748416,0.09710984,3.260195,-0.32992053,2.4175699
-1.2444612,1.7448887,2.497826,-1.0930142,1.5107576
-0.30415866,1.1262856,3.2318954,-0.26147366,1.9246583
-1.807879,1.4602737,1.0360544,-1.5475932,0.24075855
0.7163353,1.062613,1.439376,0.25675663,-0.32379493
1.3849992,1.0587633,2.1585565,1.2538055,0.13172036
1.7897995,1.3405088,2.4810991,1.6048009,-0.21389195
2.3489208,2.0677524,2.1672926,1.5268052,-0.66168326
0.8060317,1.3227658,1.622396,0.1401101,1.2768831
0.73772836,0.09408669,1.0671675,-0.38378906,-0.08172969
-0.6067961,3.6110451,1.6636157,0.31628034,-1.8124553
-0.8876438,2.351595,0.99209005,-0.25954038,1.174908
0.42069873,2.0207453,1.479781,-1.306194,1.9704194
0.67746574,-0.21789838,1.1568244,-0.2459699,-1.053881
-0.6501599,-0.3667504,3.050095,-0.11420208,0.59347963
-0.50307506,2.3279421,1.1586987,-2.204616,1.5472336
-0.67254746,2.6825333,0.8575383,-1.7234381,0.95718765
0.39931372,2.4844258,0.7973103,-2.7934747,1.9376583
0.124434926,2.932519,0.31281775,-2.3200855,0.987985
0.425587,1.4624901,0.13077612,-3.2178383,-1.0800229
0.3330179,1.4298406,0.07048559,-3.268993,-0.7834638
0.3263548,1.1479512,0.12491671,-2.7350292,-0.70005804
-0.009525052,-1.5712448,2.7301288,-2.7001274,-1.2295393
1.4962673,1.4217885,1.1223077,-1.7804981,1.0706813
2.6752255,-0.81153727,1.7942723,-1.9857543,0.2864367
2.7006953,-0.8073121,1.755711,-1.9123957,0.2604936
1.6540664,3.6853254,1.1204695,0.057887565,1.4721394
3.1455393,-0.9738714,2.4757712,-1.389858,0.43090814
1.8433424,-0.9346506,1.2015251,-0.59898007,-1.0571717
0.9309183,0.50135416,3.0678973,0.15148146,2.0456998
0.75063616,-0.7570096,1.6568402,-2.9599152,0.00084082264
4.39688,1.0669509,0.928861,-1.1161882,-1.1110053
2.9187095,1.5772866,1.446143,0.85638463,-1.6712911
3.4665692,1.6313988,1.824991,0.32928893,-1.8767205
2.7752507,-0.47706297,2.2195992,-0.7297731,-2.499495
1.0966188,0.47553074,2.283335,-1.4262873,1.2725548
0.106260724,0.33658263,2.1791172,-0.41656598,2.2760274
-2.284143,0.030968398,3.4170594,0.5244083,-0.4300302
-2.1368654,-0.3101349,4.0023656,0.62442297,-0.4618638
-2.2840974,0.17281282,4.215078,0.037356246,0.43441814
-1.5251868,0.6950057,3.1358132,0.73160315,0.22133206
-1.3484458,0.26497975,3.738265,0.54512125,0.5053069
-1.1936946,1.2416372,4.6767106,0.35819912,1.7096101
-0.93303484,2.6563516,1.2341992,0.0047460697,0.4520166
0.5606741,2.1039174,0.58373445,-2.4756608,0.4894914
0.55764925,1.3005563,0.5948891,-3.124893,0.3989258
0.4687577,1.5261313,0.47166577,-3.1561956,0.20771368
3.205701,1.3729583,1.1974325,-0.80877703,-0.49635872
-1.5178493,1.0885974,1.7731032,-0.261539,-0.36834237
-0.71661836,1.2472458,1.2676345,-1.138518,0.38364258
-0.5544533,-0.14051086,3.0635352,0.053939354,0.55945843
-2.1279492,1.1754794,2.9676366,-0.055422373,-0.5436745
-0.94455594,-0.09040252,3.6094155,0.18638313,0.076632716
-1.2541413,0.19012779,2.6201138,-0.19982906,0.9008923
0.004610955,0.4959268,2.0236716,0.47790584,0.6509737
2.2672193,-0.26518592,3.107787,-0.761246,1.3244013
2.046691,-0.4586818,3.1654809,-0.47420976,1.2081141
1.9239717,-0.438072,2.6950204,-0.61961216,0.5687149
2.2994096,-0.39516997,2.599804,-0.47776118,0.6522275
0.19004886,1.633308,0.061947644,-1.8346162,-0.37801307
2.3123631,0.46068895,0.18273894,-0.9646774,-0.5304435
3.6961763,1.143025,1.2715566,-0.5358772,-1.0787383
2.1614678,1.2403128,1.5655451,-0.6863926,1.5701698
-1.5109091,1.1921577,1.660474,-0.35843197,-0.4360408
-1.5767344,0.40370587,3.2332895,0.101969905,-0.06411006
-1.7824328,0.84145385,1.4099407,-1.3311954,-0.49420926
0.84668803,1.5898405,0.25157103,-0.6127999,-2.034951
0.9768765,1.8218035,0.16543543,-0.7760522,-2.1730974
0.93669564,1.395244,0.2227128,-0.68574446,-1.6426189
1.3197176,2.0133972,0.16847448,-0.53991747,-2.5036619
1.2487084,2.3254972,0.072136775,-0.97062004,-1.7766356
1.5069796,2.1839452,0.36916983,-0.3866715,-2.1261988
2.2988532,2.087578,0.25986114,-0.78357154,-1.8884357
2.2499957,1.8575511,0.9350898,-0.13828315,-1.8607688
2.1110463,2.2648242,0.76919836,-0.5504184,-3.315367
1.505979,1.9759212,0.8109888,-0.25642878,-2.7500207
1.4422075,2.8711827,-0.013689035,-2.353042,-1.5414351
1.2832937,2.6694474,-0.37676072,-2.0694373,-1.7851033
2.3510935,2.3675423,1.3077571,0.7567988,-1.1814668
0.934043,1.3301506,0.17726268,-0.6774282,-1.7895949
1.1148198,1.4605852,0.37022725,-0.8172262,-2.1301847
0.8075939,1.2830547,0.25103152,-0.9590394,-1.7789505
1.0390474,1.64939,0.28419843,-1.001309,-2.296796
0.9377224,1.3430958,0.1818845,-0.7692089,-1.8169789
1.1449378,1.5431314,0.15720716,-1.0125831,-1.9940938
1.1002651,1.4816072,0.41108182,-0.8779895,-2.149282
1.1638668,1.3407143,0.10511468,-1.0259724,-1.8455104
1.6747081,-0.30146724,0.52253675,-3.2676694,-1.8014499
3.49573,0.75618774,-0.5446396,-3.4245565,-1.2008291
1.5001823,0.69219995,3.5575273,0.07515705,2.2270205
0.7171996,0.8400791,0.41073996,-0.09206141,-0.28549117
2.0422018,1.4899143,1.6536993,-0.11772549,0.41281024
1.8769151,1.4393035,0.6868269,0.04455053,-0.4402994
0.5167238,-0.53057975,0.6784414,-0.10722485,0.17926036
1.3544898,-0.12999597,1.630552,-0.491751,0.90324444
1.8130025,-0.04786916,1.9259042,-1.2667744,1.063761
1.799862,0.58890325,1.2915798,1.0668951,1.3231614
2.0579226,-0.5771391,1.7387037,-2.315061,1.7978276
1.7720958,0.32615894,1.4700855,-1.0912023,0.22860248
4.174847,-1.3449649,2.4287512,-2.1361928,1.5998086
-2.0198026,2.8311281,1.8304589,0.06876872,-0.6331788
-1.952915,2.603184,2.2469783,0.36936352,-0.22085136
-1.9851586,2.7516944,1.9147322,-0.000120822806,-0.7712231
-1.9119531,2.2571678,2.2753458,0.3695797,-0.38934135
-2.0980299,2.7755532,2.2494104,-0.034625616,-0.61123466
-2.1737213,2.5544956,2.5628657,0.15590608,-0.3010889
-1.4449611,0.8806245,2.4521754,0.29158205,-0.48842943
-1.1335163,0.79757005,2.0816429,0.06710677,-0.2898097
-1.1599678,0.96697325,2.0676632,0.0966209,-0.39615288
-1.3766683,0.8308532,2.5234015,0.2836013,-0.2981809
-1.106869,0.5350711,2.4200773,0.03869254,-0.38591978
-1.1265388,0.5292871,2.4347968,0.0558919,-0.3097114
-1.4547933,0.7373584,3.1588786,0.26727355,-0.045527034
-1.3245786,0.9847907,2.8291144,0.31673777,-0.14351308
-1.1077223,0.6519983,2.7734716,0.06210828,-0.18168633
-1.0975404,0.5606101,2.8369205,0.13598028,-0.0011227692
1.7334286,-0.81359136,2.0144958,-2.0724757,1.0818343
3.1738975,-0.013659118,1.78814,-1.0162226,1.0616415
3.9558845,1.1808431,2.3684886,0.62710816,-0.2821309
4.041672,1.5915807,1.5416754,0.15264721,-0.42617756
3.7442405,2.4834583,1.1615398,0.7598421,-0.1967396
1.499616,1.4658244,0.16869046,-0.591305,-0.67873985
1.8148365,0.9998787,0.4196178,-0.6479968,-0.65564984
1.7530694,1.4033813,0.7516841,-0.32445532,-0.26222908
-0.4117511,2.44695,2.855237,1.2236084,-0.84647804
3.9706833,0.7236171,0.04857601,-1.0107533,-2.0648193
1.5012802,-0.35760194,2.0247412,0.25728306,-0.3891336
1.3890958,-0.96422863,2.8263535,-0.07688039,0.04896792
2.0541801,-0.62705964,1.6591066,-1.1155288,-0.50169754
0.7166202,0.091576666,1.0985944,-0.37543494,-0.06098077
-1.315966,1.9537446,1.2061069,-0.32821175,0.1970619
-1.3115542,1.52679,1.413277,-0.4290301,0.35560864
-0.78421885,1.7851398,2.3733652,-0.18415578,1.5909268
0.9209692,-0.11892579,0.9039318,-0.97358143,0.61327344
1.411444,0.06247323,1.0163156,-0.9107307,0.6647393
-1.4306139,0.50028133,1.4728138,-1.2766542,-1.9035813
-1.3120944,0.527206,1.5365862,-1.0792264,-1.8426958
-1.5014632,0.54772615,1.5320485,-1.4079378,-1.8814236
-1.332515,0.55704486,1.3205482,-1.6821283,-1.8303558
-1.2671181,0.51284,1.4413799,-1.5565298,-1.796462
-1.2601738,0.62634027,1.451172,-1.2903763,-1.9483224
-2.1019175,1.4188663,1.6332226,-1.1679047,-2.5892994
-1.5036275,0.7390996,1.5422302,-1.2031977,-1.9581434
-1.5136185,-0.09662051,2.0095708,-2.1813838,-1.9965249
-1.3038054,0.63851863,1.3405302,-1.5572433,-1.86886
-1.3341259,0.6933327,1.325985,-1.4429895,-1.8506399
-1.5401484,0.45960775,2.0436404,-0.9403643,-1.9446678
-1.2590191,0.5407455,1.3098135,-1.2864629,-1.8997952
-1.3437887,0.23472388,1.6490333,-1.6871321,-1.9949797
-1.4451909,0.12408083,1.7894726,-1.4253972,-1.9460459
-1.2493379,0.23206602,1.6783912,-1.5457783,-1.907263
-1.398195,0.25117514,1.5161927,-1.652382,-1.7944709
-1.2577668,0.14532757,1.6725433,-1.8171381,-1.6379483
-1.3459095,0.11964867,1.6935123,-1.5642751,-1.7094704
-2.024836,1.2449762,1.7049922,-1.1493798,-2.5846725
-1.4621426,0.565603,1.5604498,-1.1821748,-1.9365423
-1.3982503,-0.46458313,2.2905931,-2.1853414,-2.05674
-1.3140826,0.3795087,1.5178548,-1.8524755,-1.705416
-1.3593658,0.40932223,1.4387856,-1.427468,-1.9432611
-1.5398879,0.32433933,2.1572134,-1.0517582,-2.068013
-1.3395785,0.40260604,1.5897102,-1.5264411,-1.9351115
-0.97373164,0.5962291,1.0532596,-1.903258,-1.4734726
-1.093883,0.5116006,1.2041476,-1.6072325,-1.5006464
-1.004705,0.2964633,1.163159,-1.8061868,-1.2910043
-1.0043002,0.29480857,1.0471274,-2.064838,-1.4206697
-1.0037194,0.53706753,1.0203165,-1.8579524,-1.2665492
-0.982826,0.36121473,1.0644162,-1.5940213,-1.5111914
-1.8610567,1.6205941,1.0502133,-1.2788212,-2.2268527
-1.0388799,0.52545065,1.0598397,-1.5219718,-1.5845451
-1.0447273,-0.2566727,1.5633566,-2.5446198,-1.5349283
-1.0115933,0.59804416,0.9908931,-1.9505394,-1.4525932
-1.0667772,0.66381973,0.95673853,-1.6671392,-1.4613184
-1.4364845,0.463589,1.5267919,-1.1765419,-1.6374173
-1.0079367,0.7919691,0.9590653,-1.7542143,-1.3093559
0.1909327,1.656562,0.0855425,-1.8376313,-0.38293436
2.4361014,0.38266554,0.24014874,-1.0102485,-0.6352108
1.8592546,-0.78314155,0.7613978,-3.4625452,0.22683024
0.35532326,3.2117743,0.78163904,-0.42817238,0.49120945
0.14259648,3.046825,0.90938145,-0.37463456,0.81337214
0.24008264,3.2569282,0.6556204,-0.3498444,0.7197467
0.17804627,3.177444,0.7531143,-0.38631502,0.6586955
0.16564375,3.004207,0.78541285,-0.37239262,0.63124615
0.19780317,3.376574,0.7792382,-0.41545212,0.6608787
0.6688784,3.3955686,0.4459086,-1.01356,0.83216745
0.45932356,3.099135,0.5814415,-1.037429,1.1898906
0.43720374,3.3202124,0.38841224,-1.1028132,1.0069896
0.40677705,3.2492976,0.5452158,-0.9272086,0.85191345
0.3804844,3.3334749,0.5869058,-1.0580015,0.88871413
0.47871843,3.17219,0.6125558,-0.8608641,0.8271361
-1.4195715,3.809963,1.8818442,-0.23789242,1.0989723
-1.2633185,3.6949234,1.4987179,-1.0307453,1.1201365
1.2410176,2.1052594,1.3442285,0.34482595,1.149996
1.287669,2.221443,1.6616238,0.37913346,1.1134776
1.1867253,2.4240043,1.4709678,0.24247779,1.0186592
1.1681997,1.9637393,1.1746907,0.010104194,1.1178904
1.182063,2.1042283,1.4412471,0.24721587,0.92123055
0.89413697,0.95803905,1.8065732,0.25966164,-0.2793536
0.40646017,2.8047984,3.0377312,2.3502479,0.14831491
3.1262262,1.1346407,1.0763494,-1.355067,-0.5102083
0.30300483,1.3820611,0.81652707,-1.9575392,1.6208236
0.44353443,0.89750475,0.6926268,-1.9414082,1.3898501
-0.2094882,1.637672,1.1850573,-3.1336522,1.2325331
-0.53387535,1.1318243,1.9241532,-2.3238902,1.8261417
-0.6285272,1.329481,1.7004428,-2.3633347,1.7766073
-0.50024486,1.0951811,1.5635172,-2.3803422,1.7622833
-0.24961361,1.0145768,1.4994954,-2.5800116,1.829774
-0.672401,1.0118356,1.5476118,-2.6925292,1.4461597
-0.18806262,1.8252677,1.2607278,-2.7781994,1.5397692
-0.49687386,0.98035717,1.6725768,-2.6244454,1.5461875
-0.5764988,0.5669747,2.2083254,-1.8609706,2.3358183
-0.36762252,1.0822414,1.6102434,-2.7106037,1.6446756
-0.5379056,1.1407932,1.7108879,-2.3488007,1.7389729
-0.540765,1.1456225,1.5954614,-2.474626,1.7305744
-0.06401268,1.6930783,1.2285361,-2.9895427,1.4427218
0.7565813,0.81625134,0.670499,-2.1443522,1.266705
0.6420362,1.480362,0.57127124,-2.168888,1.4778152
-1.1219387,1.7745752,0.6538197,-1.4960582,-0.58192056
-0.79796034,1.5414524,0.7765708,-1.50075,0.8509924
-0.51428306,1.5397211,0.59559906,-2.2414086,0.32002872
-0.721683,1.7711269,0.5118185,-1.6574603,0.7177968
-0.2815873,1.7414691,0.28813323,-1.2369025,-0.19487135
-0.66330504,2.0392501,0.5261149,-1.8159529,-0.5960295
-0.34269446,2.9683237,0.1576211,-2.7580423,-0.36751145
-1.3794783,1.5639303,0.9240828,-1.2730142,-0.5261917
-1.0446483,2.2040203,0.8444507,-0.84382164,-0.086777665
-0.9535275,2.1441443,0.7846003,-1.4226804,-0.39642626
-0.8565814,2.25645,0.48624212,-1.1183134,0.25204283
-1.3929495,0.9864743,0.41824174,-2.270091,-0.708465
-0.6110813,2.1796134,0.49718177,-1.7370462,-0.52063805
2.3676016,1.0308034,2.417099,0.5093022,1.9193742
3.7228177,1.1008424,2.0072265,1.0258354,1.8713815
3.9041471,2.3700206,0.92147636,2.0295992,0.4507315
2.2068124,-1.4724455,4.2096777,-0.28655085,-0.21887462
2.0893688,-1.7296351,4.155633,-0.33760753,-0.0025235289
1.4405041,-0.18212862,0.9102119,-1.5288669,-0.25350794
0.8542425,1.2728813,1.4974561,0.034540363,1.2334969
0.22452165,1.1893976,0.48937044,-0.8487203,1.9204125
0.47621414,0.70461994,1.2627274,-0.59404635,0.8542041
0.5027844,0.46861345,1.327885,-0.6897832,0.8173884
0.35784453,0.6974805,1.2312388,-0.5049547,0.9323436
1.5122812,-2.1844275,3.9731965,-3.6989064,1.3665665
0.6120515,-1.2523304,2.7367258,-3.5952733,0.2752265
2.4887226,-0.75143456,1.7680916,-1.9541361,-0.06337617
-1.5962311,1.2588942,1.7354394,-0.20534171,-0.5285577
-1.3444071,0.1795134,3.193677,-0.75010806,0.70499986
-0.70807165,1.1642466,1.2227355,-1.2483515,0.23902789
-1.0301521,-1.5195041,3.986537,-0.37872833,-0.37532413
-0.23975843,-1.2849399,3.318093,-0.8733783,0.36628282
0.51351964,-1.128565,2.3892882,-1.8737768,0.864343
-1.9172503,0.7359964,3.0788927,-0.49660793,0.30911162
-0.64052814,0.037321996,3.1756098,0.20887528,0.48119357
-1.7818366,0.79724115,1.4621876,-1.2527882,-0.5296674
-0.7204295,-1.1944457,3.0721862,-0.35744718,-0.45580605
1.418508,0.99199677,0.38260368,-1.9368416,0.79547125
1.0248499,0.49907884,0.68040234,-2.05142,1.3233308
0.3726074,1.4912984,0.52231014,-1.8797625,0.68589914
0.55704236,-0.83673733,2.2682877,-1.7865019,0.24471112
1.7026873,1.3357182,0.16504478,-1.1747901,-0.57858855
0.98564714,1.8145627,2.4551198,1.0490221,1.293903
3.7483742,0.47654518,1.4724053,-0.09110047,-0.6746434
0.07418227,3.0593448,2.330542,-1.7765764,2.8447218
0.9385536,3.554712,1.7294723,1.3727993,-0.27055922
-0.7707474,2.9196217,3.8246253,1.505529,0.99374944
0.53565717,3.0807195,4.042303,2.2772453,0.5502186
-0.022371529,3.1141236,3.3148692,1.1288644,1.4102138
0.3700005,0.7419061,2.5542157,0.04288291,1.5713136
2.2981684,-1.1256756,3.410424,-1.1855503,0.6690904
0.56640923,0.84087205,1.2323933,-0.71559006,1.4699769
0.39824873,0.895331,1.4150997,-0.57893527,1.60406
0.48774073,1.0239797,1.2503052,-0.7171971,1.4302331
0.721798,-0.03772544,3.199582,0.13211887,1.7143089
0.73571354,0.018443322,3.0527349,-0.17170212,1.892942
0.5558121,-0.13366841,2.4815829,0.38520664,0.92051166
0.56155765,-0.21016952,2.4672248,0.15889372,0.9248671
2.7937908,-0.99860203,1.89123,-2.2842274,0.24815384
0.7078139,0.008285184,1.111235,-0.384254,-0.09941055
0.43191737,-0.29779357,1.4901499,-0.02161238,-0.34982467
2.5106373,0.8300021,0.68625987,-0.94261426,-0.6103102
1.6982318,0.38175723,0.5862226,-3.329001,-0.05014367
0.27791348,1.829032,1.956447,-0.8878144,1.7255175
-0.6937762,-1.05658,2.8882663,-1.0632144,-0.13710897
-0.6356305,-0.97372663,2.9719524,-0.46436736,-0.316339
-0.18439737,-0.9845172,2.4651604,-1.0692687,0.2397499
-0.36447924,-1.1483055,2.7064674,-0.87422013,-0.02488083
-0.80854833,-1.1312044,3.515148,-1.3140965,-0.07638401
-0.8581436,-0.7878947,3.0704844,-1.6149185,0.40774035
-1.0275737,-0.5056805,2.9929383,-1.5720392,0.7446092
-0.79946184,-0.77622634,2.813128,-1.4135613,0.50515896
-0.46082583,-0.5973133,2.7051513,-1.5043889,0.6532139
-0.945203,-0.8360059,2.8703008,-2.0691934,0.3906613
-0.87812,-0.83228743,2.9254034,-1.601034,0.52999717
-0.7704264,-0.79399765,3.3404894,-0.9724594,0.1266258
-0.87226605,-0.7556765,2.8365061,-1.8602178,0.49738392
-0.8956139,-0.58136386,2.9356823,-1.4854175,0.6089041
-0.8502705,-0.77361846,2.9003747,-1.6621804,0.59451663
-0.97323066,-1.0166011,3.6471207,-1.542106,0.28906718
0.6279209,-1.0601186,2.1765692,-1.5111945,0.7884603
0.5709991,-1.0726957,2.1746027,-1.73257,0.86018527
0.29307282,-1.3315973,2.4767761,-1.0464392,0.08171843
-0.9609561,-0.95233995,3.2055788,-0.9569204,-0.19488372
-2.3080459,0.946975,4.1608453,1.1312684,-2.410326
-1.3645686,3.3006988,1.5847731,-1.1841336,-1.8069211
0.6217288,2.5342686,0.18672809,-3.108706,-1.4674541
-0.34696776,3.267144,0.6629466,-4.056578,-1.848701
-0.38561848,3.0928252,0.76100177,-3.6952777,-1.6155944
-0.063421205,3.1000476,0.5694024,-3.792757,-1.9858819
0.7769627,1.9366717,2.5519965,-0.45650944,2.4049242
-0.3142239,0.7703675,2.4350317,0.40684536,1.4281548
0.87282497,2.9339797,2.0492425,-0.52866095,2.6415582
-0.26639727,1.4650332,1.9901937,0.13585144,2.1595113
-0.36373383,1.614635,1.8931867,0.2408171,1.9668152
3.097591,4.808567,2.3762157,0.40432057,3.2256248
0.10824347,4.1440353,0.6456345,-0.3359572,-0.28838688
-0.32001665,2.4908738,-0.19281264,-0.8038085,-1.6514075
-2.4907115,3.9027965,2.07156,0.50797087,-0.74287355
1.7496098,-1.6073512,3.5669856,-0.08181369,-2.2856374
1.6450064,-1.6287688,3.7695756,-0.043127604,-2.2987118
1.3417432,-0.35415167,2.8247576,0.759144,-2.2780018
1.1685624,-0.42640293,2.8403738,0.66973215,-2.3852189
1.1214908,-0.68647087,2.615777,0.49634668,-1.7705601
