p_0,p_1,p_2
-0.59535027,2.75887,1.4009316
-1.2859874,0.09336546,1.2739139
-1.0246538,0.26883775,1.5286056
-1.3756833,1.0827764,1.4040836
1.2610805,1.6516584,2.583123
0.97672117,-0.017314013,2.341259
1.2217479,0.3975844,2.276493
1.3003557,0.5504077,2.446674
1.0944476,-0.62827706,2.2254379
-0.35356224,0.24971879,1.066609
-1.5141532,-0.3799352,0.9551454
-1.4113975,-0.291959,0.926149
-1.400612,1.2576101,1.0420477
-1.7684247,1.2708071,0.64868695
-1.9770768,1.3879701,0.69058645
-1.1425251,-1.9976649,1.8104571
-1.3156672,-1.8494964,1.8061455
-1.4302269,-2.0709383,1.8166606
-1.1292548,-2.000755,1.8662269
-1.3601241,-1.9416152,1.9005498
-1.0436653,-2.0100448,1.9294494
-1.4012495,-2.5683472,2.3073037
-1.2681795,-2.017291,1.8287786
-1.4235479,-2.159232,2.014381
-1.2489598,-1.9946427,1.8171353
-1.2253087,-1.8719742,1.7904276
-1.4153483,-2.0948505,2.4582055
-1.1384629,-1.8093536,1.6622851
-1.004113,-2.141125,1.9958626
-1.3470542,-2.0800896,1.8897424
-1.1088766,-2.0553384,2.0241516
-1.0402883,-1.9420593,1.7722057
-1.2516329,-1.9136683,1.9220047
-0.94145566,-2.0470734,1.8964088
-1.4278567,-2.5686233,2.3053837
-1.0969267,-2.0269356,1.8620696
-1.1495048,-2.230324,2.1139677
-1.2154444,-1.9346576,1.8718483
-1.0977323,-1.9752777,1.7881818
-1.3499498,-2.2024884,2.6100068
-1.1563932,-1.986259,1.9278415
-0.9035572,-1.7963979,1.7997898
-1.133127,-1.757949,1.718453
-1.074336,-1.7227296,1.6666836
-0.9465254,-1.9390196,1.7793696
-1.0310577,-1.6221458,1.5771613
-0.8844211,-1.8213902,1.7112521
-1.2700117,-2.302264,2.0277069
-0.845949,-1.7888877,1.6635143
-1.1793,-1.7820796,1.7281446
-0.9432292,-1.7838753,1.7022679
-1.0751222,-1.6186494,1.5157669
-1.2122316,-1.9970361,2.2301338
-1.0556182,-1.5946401,1.6208318
0.13925293,-1.335369,2.32991
0.4083747,-1.032352,1.8970554
-0.6191846,-0.46063897,1.1474873
0.21543872,2.7736561,1.7586628
0.41938573,2.6397564,1.8771846
0.4597959,2.5833645,1.6733328
0.46332672,2.5784,1.844923
0.3222939,2.4554007,1.7084919
0.12998359,2.8929498,1.6897309
0.34650207,2.83717,1.9490985
0.3372637,2.4793625,1.9190197
0.6603652,2.6947823,2.0478425
0.6042466,2.5992937,2.0721488
0.40980446,2.5920508,1.9927142
0.29456022,2.5491765,1.7724274
0.0054783453,1.2207906,1.26597
0.05281363,1.1025789,1.3929563
-1.9132012,2.8790896,0.9125617
-1.9466891,2.9517577,1.1227582
-1.7590513,2.9487288,1.1946162
-1.5612034,2.7411826,0.9843473
-1.8045958,2.8198423,0.9748553
-0.007944568,1.9190644,1.5339624
-0.5509261,3.5584068,1.9567515
0.07345615,1.1395512,2.130458
-2.16192,-0.16877149,1.171647
-2.2667096,0.30745837,0.9782605
-2.558712,-0.21771125,1.5653001
-3.1024678,0.1458644,1.5453671
-3.0484736,0.20181076,1.4277589
-2.780999,-0.2752273,1.4501418
-2.9026737,0.08413248,1.4113321
-3.021776,0.16420624,1.4572079
-2.722609,-0.39569226,1.6011419
-2.8603528,-0.06837314,1.4871094
-3.0231922,0.12440506,1.7075421
-3.087578,0.35030165,1.508819
-2.8684952,0.22091007,1.4119859
-2.8834734,0.111006066,1.4512812
-2.5373585,-0.23554738,1.544147
-1.7211219,0.047423705,1.0201982
-1.8620367,-0.34969896,1.1599306
-2.2594266,-1.1265519,1.369173
-2.1628246,0.25943628,0.7789029
-2.2773936,-0.7255695,1.2525527
-2.284026,-0.22233036,0.94341373
-2.0020487,-0.75343454,0.9906855
